OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price
SO - 0003980,Online,WARE-NBV1002,15/5/19,31/8/19,17/9/19,21/9/19,USD,16,34,87,41,8,0.05,165.09,214.4
SO - 0002190,Online,WARE-MKL1006,27/10/18,27/1/19,18/2/19,27/2/19,USD,12,19,344,30,1,0.075,"2,555.11","6,083.60"
SO - 0001029,In-Store,WARE-PUJ1005,10/4/18,15/9/18,2/10/18,7/10/18,USD,4,46,327,7,4,0.4,"2,257.77","3,892.70"
SO - 0003362,In-Store,WARE-NBV1002,4/2/19,16/6/19,1/7/19,2/7/19,USD,10,49,79,17,3,0.2,"1,669.10","2,318.20"
SO - 0005311,Distributor,WARE-UHY1004,1/12/19,10/2/20,28/2/20,2/3/20,USD,24,9,239,37,1,0.1,526.22,"1,031.80"
SO - 0005254,Online,WARE-XYS1001,23/8/19,2/2/20,11/2/20,20/2/20,USD,16,35,16,24,3,0.075,"1,181.88","1,969.80"
SO - 0004120,Distributor,WARE-XYS1001,15/5/19,19/9/19,23/9/19,24/9/19,USD,22,24,42,43,7,0.4,325.55,757.1
SO - 0002724,In-Store,WARE-PUJ1005,27/10/18,6/4/19,14/4/19,22/4/19,USD,4,12,266,3,1,0.05,117.25,234.5
SO - 0007393,Distributor,WARE-PUJ1005,18/6/20,10/10/20,27/10/20,1/11/20,USD,25,15,286,41,5,0.075,704.77,"1,051.90"
SO - 0003620,Distributor,WARE-UHY1004,15/5/19,20/7/19,9/8/19,15/8/19,USD,23,32,246,38,5,0.15,"3,792.60","6,117.10"
SO - 0007600,Online,WARE-PUJ1005,18/6/20,1/11/20,11/11/20,19/11/20,USD,19,46,305,23,5,0.15,"2,409.99","3,651.50"
SO - 0002864,Online,WARE-XYS1001,4/2/19,22/4/19,13/5/19,16/5/19,USD,13,9,37,19,4,0.2,712.88,"1,782.20"
SO - 0007326,Distributor,WARE-NBV1002,18/6/20,3/10/20,24/10/20,3/11/20,USD,21,9,61,24,3,0.2,"1,383.28","2,231.10"
SO - 0005586,In-Store,WARE-NMK1003,1/12/19,10/3/20,29/3/20,1/4/20,USD,8,38,191,11,1,0.05,209.04,268
SO - 0004137,In-Store,WARE-UHY1004,15/5/19,21/9/19,30/9/19,4/10/19,USD,4,32,226,7,4,0.05,797.77,984.9
SO - 0004521,Online,WARE-PUJ1005,23/8/19,10/11/19,5/12/19,13/12/19,USD,17,30,281,41,3,0.2,"2,323.56","3,872.60"
SO - 0002686,In-Store,WARE-PUJ1005,27/10/18,2/4/19,15/4/19,17/4/19,USD,12,10,275,41,1,0.075,"1,148.11","2,251.20"
SO - 0005555,Online,WARE-MKL1006,1/12/19,7/3/20,24/3/20,26/3/20,USD,13,46,338,6,8,0.1,610.5,911.2
SO - 0005070,In-Store,WARE-NMK1003,23/8/19,11/1/20,7/2/20,12/2/20,USD,7,48,154,2,2,0.1,106.93,254.6
SO - 0002379,In-Store,WARE-XYS1001,27/10/18,18/2/19,27/2/19,7/3/19,USD,3,39,15,31,1,0.075,"2,519.94","3,999.90"
SO - 0001188,Online,WARE-XYS1001,19/7/18,6/10/18,27/10/18,6/11/18,USD,19,17,54,20,4,0.3,789.33,"1,025.10"
SO - 0006710,In-Store,WARE-MKL1006,10/3/20,21/7/20,4/8/20,8/8/20,USD,6,3,362,2,5,0.05,986.17,"2,405.30"
SO - 0001452,Wholesale,WARE-UHY1004,19/7/18,8/11/18,30/11/18,2/12/18,USD,26,50,248,34,8,0.15,591.95,"1,038.50"
SO - 000619,Online,WARE-XYS1001,10/4/18,31/7/18,11/8/18,15/8/18,USD,17,37,7,20,7,0.05,755.09,"1,078.70"
SO - 0007388,Distributor,WARE-PUJ1005,18/6/20,10/10/20,12/10/20,13/10/20,USD,22,43,263,39,2,0.05,"1,445.46","3,142.30"
SO - 0005066,Distributor,WARE-MKL1006,1/12/19,11/1/20,20/1/20,21/1/20,USD,22,31,361,5,2,0.2,987.71,"1,266.30"
SO - 0001680,Wholesale,WARE-PUJ1005,19/7/18,5/12/18,19/12/18,29/12/18,USD,27,15,294,25,1,0.2,"1,256.92","1,795.60"
SO - 0006036,Online,WARE-XYS1001,10/3/20,5/5/20,26/5/20,30/5/20,USD,20,1,38,46,6,0.075,120.6,201
SO - 0006289,In-Store,WARE-MKL1006,10/3/20,2/6/20,19/6/20,28/6/20,USD,10,22,335,17,6,0.075,"4,162.51","5,138.90"
SO - 0001468,Online,WARE-PUJ1005,19/7/18,10/11/18,22/11/18,24/11/18,USD,12,33,262,40,1,0.075,787.92,984.9
SO - 0006646,In-Store,WARE-PUJ1005,10/3/20,15/7/20,12/8/20,20/8/20,USD,7,47,295,21,5,0.05,906.11,"1,849.20"
SO - 0003404,In-Store,WARE-UHY1004,4/2/19,22/6/19,9/7/19,10/7/19,USD,4,10,245,43,3,0.05,"2,921.74","6,351.60"
SO - 0005234,In-Store,WARE-NMK1003,1/12/19,30/1/20,14/2/20,16/2/20,USD,6,47,186,43,6,0.1,"1,486.60","3,457.20"
SO - 0007228,In-Store,WARE-XYS1001,18/6/20,21/9/20,18/10/20,20/10/20,USD,2,20,55,7,7,0.075,873.08,"1,051.90"
SO - 0003630,Online,WARE-NMK1003,4/2/19,21/7/19,3/8/19,9/8/19,USD,18,43,91,8,6,0.05,163.21,194.3
SO - 0005381,Distributor,WARE-NMK1003,1/12/19,18/2/20,15/3/20,19/3/20,USD,25,44,104,30,6,0.075,127.57,227.8
