datetime,day of week,total,place,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea,gateau chocolat,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade,tiramisu,merinque cookies
2020-04-25 13:56,Sat,29300.0,동면,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,2.0,,,,
2019-09-23 13:22,Mon,18300.0,동면,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-27 12:02,Wed,33400.0,퇴계동,3.0,1.0,,,,,1.0,,,,,,,,,,,2.0,,,,,
2020-01-05 14:46,Sun,18300.0,후평 2동,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,
2020-04-22 13:43,Wed,25700.0,조운동,4.0,,,,,,1.0,,,,,,,,,,,,,,,,
2020-02-01 14:06,Sat,15800.0,효자 2동,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21 11:54,Fri,19800.0,후평 2동,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,
2020-03-01 14:27,Sun,27300.0,후평 3동,1.0,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0
2019-09-27 15:42,Fri,14800.0,조운동,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
2020-02-06 12:29,Thur,15600.0,효자 2동,2.0,,,,,,,1.0,,,,,,,,,,,,,,,
2020-03-25 14:38,Wed,14000.0,후평 3동,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,
