brand,title,type,price,priceWithCurrency,available,availableText,sold,lastUpdated,itemLocation
Kenneth Cole,KENNETH COLE BLACK Cologne for Men 3.4 oz EDT Spray New in Box,Eau de Toilette,24.7,US $24.70/ea,,"Limited quantity available / 12,865 sold",12865.0,"May 23, 2024 00:24:59 PDT","Dallas, Texas, United States"
Paco Rabanne,One Million Royal by Paco Rabanne 1 Million Royal Cologne for Men 3.4 oz,Eau de Parfum,74.99,US $74.99,2.0,2 available / 60 sold,60.0,"May 23, 2024 02:25:57 PDT","California or Hong Kong, Hong Kong"
Ralph Lauren,Ralph Lauren Polo Green EDT - Classic Woody Fragrance 4oz Sealed,Eau de Toilette,36.99,US $36.99/ea,5.0,5 available / 7 sold,7.0,"May 23, 2024 09:45:25 PDT","Hamtramck, Michigan, United States"
Burberry,Burberry Weekend 3.3oz Men's Eau de Toilette,Eau de Toilette,28.99,US $28.99/ea,10.0,More than 10 available / 7 sold,7.0,"May 08, 2024 15:45:56 PDT","Katy, Texas, United States"
Kenneth Cole,Kenneth Cole All Over Body Spray for Men 6 Oz Choose Scent,Body Spray,10.99,US $10.99,10.0,More than 10 available / 368 sold,368.0,"May 24, 2024 05:30:37 PDT","Brooklyn, New York, United States"
Ralph Lauren,Ralph Lauren Polo Est. 67 Eau De Toilette .34 oz. Travel  Spray New!,Eau de Toilette,26.5,US $26.50,3.0,3 available / 3 sold,3.0,"May 22, 2024 18:18:03 PDT","Henrico, Virginia, United States"
Acqua di Parma,Acqua Di Parma Colonia Collection For Men Sample Spray Vials 5pc Set,Eau de Cologne,23.95,US $23.95,,Last One / 78 sold,78.0,"May 22, 2024 03:57:35 PDT","Pearland, Texas, United States"
Clive Christian,Jump Up And Kiss Me Hedonistic (2021) by Clive Christian 2ml Vial Spray New,Eau de Parfum,13.0,US $13.00,3.0,3 available / 14 sold,14.0,"May 15, 2024 22:29:13 PDT","Fort Walton Beach, Florida, United States"
HERMÈS,Terre D'Hermes By Hermes EDT for Men 1.7 oz / 50 ml *NEW IN SEALED BOX*,EDT,52.99,US $52.99,10.0,More than 10 available / 117 sold,117.0,"Apr 15, 2024 10:18:57 PDT","Miami, Florida, United States"
Paco Rabanne,Invictus Paco Rabanne Made Stronger With Pheromones For Super Sexy Scent Trails!,Eau de Toilette,16.48,US $16.48,10.0,More than 10 available / 16 sold,16.0,"May 16, 2024 16:30:41 PDT","Austell, Georgia, United States"
SECERTMU,New 2024 Sexy Cologne Cupid Hypnosis Long Lasting Pheromone Perfume for Men,Perfume,6.96,US $6.96,10.0,More than 10 available / 102 sold,102.0,"May 18, 2024 16:15:46 PDT","San Francisco, California, United States"
Maison Margiela,Replica Sailing Day by Maison Margiela 3.4 oz EDT Perfume Cologne New In Box,Eau de Toilette,84.98,US $84.98,8.0,8 available / 42 sold,42.0,"May 21, 2024 07:56:03 PDT","Hackensack, New Jersey, United States"
Prada,"Prada Luna Rossa Carbon by Prada, 3.4 oz EDT Spray for Men",Eau De Toilette,76.65,US $76.65/ea,10.0,More than 10 available / 30 sold,30.0,"May 23, 2024 08:58:49 PDT","Edison, New Jersey, United States"
Calvin Klein,Ck One by Calvin Klein Cologne Perfume Unisex 3.4 oz New In Box,,23.89,US $23.89/ea,,"Limited quantity available / 54,052 sold",54052.0,"May 24, 2024 03:59:39 PDT","Hackensack, New Jersey, United States"
Versace,Versace Pour Homme Signature by Versace 3.4 oz EDT Cologne for Men New In Box,Eau de Toilette,44.94,US $44.94/ea,10.0,"More than 10 available / 21,310 sold",21310.0,"May 23, 2024 19:44:36 PDT","Hackensack, New Jersey, United States"
Carolina Herrera,HERRERA FOR MEN * Carolina Herrera Cologne * EDT * 6.7 / 6.8 oz * NEW IN BOX,Eau de Toilette,66.52,US $66.52/ea,10.0,"More than 10 available / 1,963 sold",1963.0,"May 15, 2024 10:37:08 PDT","Hackensack, New Jersey, United States"
YSL,YSL Y EDT cologne for men Eau de Toilette EDT 3.3 / 3.4 oz New With Box,Eau de Toilette,52.99,US $52.99,8.0,8 available / 60 sold,60.0,"May 23, 2024 02:38:43 PDT","New Jersey, Hong Kong"
Al Wataniah,Al Wataniah Sabah Al Ward EDP M 100ml Boxed,Eau De Parfum,50.0,C $50.00,10.0,More than 10 available / 19 sold,19.0,"May 23, 2024 16:03:42 PDT","Scarborough, Ontario, Canada"
Bath & Body Works,OCEAN Cologne Bath & Body Works 3.4 Oz 100 ml Spray Men's Collection Ne🦋,Eau de Cologne,28.95,US $28.95,,Last One / 5 sold,5.0,,"Chesapeake, Virginia, United States"
Polo Ralph Lauren,Polo Green by Ralph Lauren EDT for Men 4.0 oz - 118 ml NEW IN BOX SEALED,Eau de Toilette,36.99,US $36.99/ea,9.0,9 available / 257 sold,257.0,"May 24, 2024 06:07:15 PDT","Laughlin, Nevada, United States"
J. Del Pozo,Halloween Man Hero by Jesus Del Pozo cologne EDT 4.2 oz New in Box,Eau de Toilette,28.11,US $28.11/ea,7.0,7 available / 542 sold,542.0,"May 24, 2024 08:33:10 PDT","Dallas, Texas, United States"
Givenchy,Givenchy Gentleman Reserve Privee 3.3 oz Eau de Parfum Spray for Men. Sealed Box,Eau de Parfum,80.0,US $80.00/ea,10.0,10 available / 197 sold,197.0,"May 24, 2024 03:20:57 PDT","Katy, Texas, United States"
Paco Rabanne,Phantom by Paco Rabanne 3.4 oz EDT Cologne for Men Brand New In Box,Eau de Toilette,70.08,US $70.08/ea,,"Limited quantity available / 1,165 sold",1165.0,"May 23, 2024 16:28:06 PDT","Hackensack, New Jersey, United States"
