year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap5cc208211,co,39.0,22025.0,gray,black,nissan-infiniti lt,12500.0,12500.0,Tue Jun 09 2015 05:00:00 GMT-0700 (PDT)
2014,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbg4er222990,nc,42.0,11224.0,white,black,parkway ford lincoln,15250.0,16500.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2013,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg0dr742120,fl,33.0,43180.0,red,gray,avis corporation,15850.0,16000.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2000,Volkswagen,Jetta,GLS,Sedan,automatic,3vwsc29m5ym108816,pa,27.0,151459.0,silver,black,r hollenshead auto sales inc,1100.0,200.0,Fri May 08 2015 02:00:00 GMT-0700 (PDT)
2012,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fexcm201537,ca,34.0,54237.0,—,black,nissan infiniti lt,25300.0,23250.0,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Coupe,automatic,1zvbp8amxe5237963,az,4.0,42853.0,red,black,the hertz corporation,15450.0,15000.0,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fkxcu197242,wi,27.0,21289.0,gray,gray,toyota financial services,15000.0,14300.0,Wed Dec 31 2014 10:00:00 GMT-0800 (PST)
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg1er349453,fl,4.0,16314.0,gold,beige,enterprise holdings/gdp,17050.0,16600.0,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Coupe,manual,1zvbp8am2e5299101,tx,5.0,4034.0,white,black,jim norton toyota of lawton,18550.0,18000.0,Wed Jan 07 2015 10:15:00 GMT-0800 (PST)
2004,Mercedes-Benz,CLK-Class,CLK500,Convertible,,wdbtk75g94t013287,pa,41.0,94366.0,gray,gray,koons lexus of wilmington,7025.0,8000.0,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
2010,Chevrolet,Malibu,LTZ,Sedan,automatic,1g1ze5e75a4116440,va,21.0,73228.0,silver,black,manheim fredericksburg,9925.0,7000.0,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2011,Chevrolet,Malibu,LS,Sedan,automatic,1g1zb5e10bf277191,mi,19.0,111119.0,blue,gray,remarketing by ge/michigan schools & govt cu,6800.0,5600.0,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2008,Volkswagen,New Beetle,S,hatchback,automatic,3vwpw31c18m523850,nv,34.0,82170.0,yellow,black,findlay north volkswagen,5450.0,3900.0,Thu Jun 11 2015 05:00:00 GMT-0700 (PDT)
2007,Volvo,S60,2.5T,Sedan,automatic,yv1rs592272620554,pr,22.0,101593.0,black,black,select remarketing group llc/anderson financial,4575.0,2200.0,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
2015,Nissan,Leaf,S,hatchback,automatic,1n4az0cp4fc316114,ga,39.0,1885.0,blue,black,nissan-infiniti lt,13600.0,13500.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg0eh197893,fl,4.0,23599.0,gray,black,hertz corporation/gdp,16100.0,15700.0,Mon Jan 05 2015 04:30:00 GMT-0800 (PST)
2003,Jeep,Liberty,Renegade,SUV,manual,1j4gl38k03w534303,md,2.0,133923.0,silver,gray,purple heart services inc,4025.0,2700.0,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
2002,Chevrolet,TrailBlazer,LTZ,SUV,automatic,1gnds13s122228036,ga,19.0,143509.0,white,brown,santander consumer,2250.0,800.0,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
