product_name,website,country,category,subcategory,title-href,price,brand,ingredients,form,type,color,size,rating,noofratings
Temptu Perfect Canvas Airbrush Airshadow FOR Eyes Starter Set,Amazon,India,eyes,eyeshadow,https://www.amazon.in/Temptu-Perfect-Airbrush-Airshadow-Starter/dp/B07CF51KWG/ref=sr_1_4851?crid=23F4X9PWZGM0X&keywords=eyeshadow&qid=1677593338&refinements=p_n_feature_four_browse-bin%3A34410131031&rnid=34410127031&s=beauty&sprefix=eyes%2Caps%2C304&sr=1-4851,15399.0,Temptu,,liquid,,Multi,0.25 Ounces,4.1,16
"NYX Cosmetics Love In Paris Eye Shadow Palette Parisian Chic, 0.028 Ounce",Amazon,India,eyes,eyeshadow,https://www.amazon.in/NYX-Cosmetics-Shadow-Palette-Parisian/dp/B00CIOFDQ2/ref=sr_1_4099?crid=23F4X9PWZGM0X&keywords=eyeshadow&qid=1677597724&refinements=p_n_feature_four_browse-bin%3A34410131031&rnid=34410127031&s=beauty&sprefix=eyes%2Caps%2C304&sr=1-4099,6335.0,NYX,,other,,,,4.2,28
Dreams Sunset Eau de Parfum,ulta,USA,body,perfume,https://www.ulta.com/p/dreams-sunset-eau-de-parfum-pimprod2025892?sku=2583055,5882.4,Coach,"Alcohol Denat. (Sd Alcohol 39-C), Parfum (Fragrance), Aqua (Water), Ethylhexyl Methoxycinnamate, Octocrylene, Butyl Methoxydibenzoylmethane, Homosalate, Ethylhexyl Salicylate, Bht, Tocopherol, Helianthus Annuus (Sunflower) Seed , Hydroxycitronellal, Linalool, Benzyl Salicylate, Coumarin, Alpha-Isomethyl Ionone, Citronellol, Limonene, Geraniol, Isoeugenol, Methyl 2-Octynoate, Citral, Benzyl Alcohol, Ci 19140 (Yellow 5), Ci 14700 (Red 4), Ci 17200 (Red 33), Ci 60730 (Ext. Violet 2).",liquid,all,No color,39,4.6,951
Shiseido Pop Powdergel Eye Shadow - 04 Sube-Sube Beige,Sephora,India,eyes,eyeshadow,https://sephora.nnnow.com/shiseido-shiseido-pop-powdergel-eye-shadow---04-sube-sube-beige-HJU6RXQH60G,2000.0,SHISEIDO,"Mica, Talc, Dimethicone, Squalane, Synthetic Fluorphlogopite, Titanium Dioxide (Ci 77891), Calcium Aluminum Borosilicate, Trimethylsiloxysilicate, Dicalcium Phosphate, Silica, Dimethicone/vinyl Dimethicone Crosspolymer, Hydrogenated Styrene/isoprene Copolymer, Ethylhexylglycerin, Caprylyl Glycol, Polymethylsilsesquioxane, C20-24 Olefin, Laureth-4, Tin Oxide, Alumina, Glycerin, Iron Oxides (Ci 77491), Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate",powder,shimmer,04 Sube-Sube Beige,2.2,4.07,7
"Chambor Luminous Blush, Candy Rose No.01, 6 g",Amazon,India,face,blush,https://www.amazon.in/Chambor-Luminous-Blush-Candy-No-01/dp/B07CCWCTTS/ref=sr_1_205?crid=3LRV3RGV0KP9K&keywords=blush&qid=1677661394&sprefix=blush+%2Caps%2C190&sr=8-205,775.0,CHAMBOR,"Talc, Lauroyl Lysine, Nylon 12, Zinc Stearate, Octyl Stearate, Magnesium Carbonate, Cetyl Acetate, Silica, Isopropyl, Myristate, Cyclomethicone, Methyl Paraben, Propyl Paraben, Triclosan, Perfume",powder,,Candy Rose No.01,,4.10,46 ratings
Risquï¿½ï¿½ï¿½ï¿½ï¿½ï¿,ulta,USA,lips,lipstick,https://www.ulta.com/p/risque-matte-lipstick-pimprod2022188?sku=2579257,857.85,BLK/OPL,"Isostearyl Isostearate, Mica, Synthetic Wax, Pentaerythrityl Isostearate/Caprate/Caprylate/Adipate, Isononyl Isononanoate, Tridecyl Neopentanoate, Candelilla Cera/Euphorbia Cerifera (Candelilla) Wax/Cire De Candelilla, Kaolin, HDI/Trimethylol Hexyllactone Crosspolymer, Polyglyceryl-3 Diisostearate, Synthetic Beeswax, Silica.",stick,matte,Haute Shot,,5,2
Idï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,ulta,USA,body,perfume,https://www.ulta.com/p/idole-eau-de-parfum-pimprod2008623?sku=2553350,5228.8,Lancï¿½ï¿½,"Alcohol, Parfum / Fragrance, Aqua / Water / Eau, Methyl Anthranilate, Tris(Tetramethylhydroxypiperidinol) Citrate, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, CI 14700 / Red 4, CI 60730 / Ext. Violet 2, Linalool, Geraniol, Eugenol, Alpha-Isomethyl Ionone, Methyl-2-Octynoate, Coumarin, Farnesol, Limonene, Hydroxycitronellal, Citral, Citronellol, Hexyl Cinnamal, Benzyl Alcohol, Benzyl Benzoate, Benzyl Salicylate.",liquid,all,No color,24,4.6,"14,456"
Revolution Gel Eyeliner Pot With Brush - Black,Amazon,India,eyes,eyeliner,https://www.amazon.in/Revolution-Gel-Eyeliner-Pot-Brush/dp/B087S8LC5J/ref=sr_1_228?crid=3L905BRQ07JA8&keywords=eyeliner&qid=1677590864&sprefix=eyeliner%2Caps%2C248&sr=8-228,750.0,Makeup Revolution,,gel,metallic,Black,,3.9,34
Santal Gray Eau de Parfum,ulta,USA,body,perfume,https://www.ulta.com/p/santal-gray-eau-de-parfum-pimprod2035050?sku=2597626,8006.6,Lake & Skye,"Alcohol Denat. (Organic Sugar Cane Alcohol), Fragrance/Parfum, Water/Eau/Aqua, Alpha-Isomethyl Ionone, Citral, Farnesol, Geraniol, Limonene, Linalool.",liquid,all,No color,51,4.5,35
Serial Liner,ulta,USA,eyes,eyeliner,https://www.ulta.com/p/serial-liner-pimprod2008003?sku=2553782,1552.3,NABLA,"Aqua (Water), Propylene Glycol, CI 77266 (Carbon Black) (Nano), Acrylates Copolymer, Ammonium Acrylates Copolymer, Butylene Glycol, 1,2-Hexanediol, Phenoxyethanol, Ethylhexylglycerin, Disodium Edta, Sodium Dehydroacetate, Lilium Candidum Flower Extract, Rose Extract, Jasminum Officinale (Jasmine) Flower Extract, Iris Ensata Extract, Nelumbo Nucifera Flower Extract, Leontopodium Alpinum Extract, Freesia Refracta Extract, Camellia Sinensis Leaf Extract.",liquid,all,Light Brown,0.84,4.1,23
Nutriment Keratin Hair Mask Reduces Breakage and Damage Treats Frizzy Hair Healthier Scalp Adds Shine and Improves Hair Texture 250 gm Hair Mask for Men and Women (Pack of 1),Amazon,India,hair,hairmask,https://www.amazon.in/Nutriment-Keratin-Breakage-Healthier-Improves/dp/B09MQMMHD6/ref=sr_1_144?keywords=hair+mask&qid=1678253600&sr=8-144,700.0,Nutriment,,mask,all,No color,250,,0
Invictus Eau de Toilette Travel Spray,ulta,USA,body,perfume,https://www.ulta.com/p/invictus-eau-de-toilette-travel-spray-pimprod2032545?sku=2595566,2859.5,Paco Rabanne,"Alcohol Denat., Parfum (Fragrance), Aqua (Water), Benzyl Salicylate,Limonene Ethylhexyl Methoxycinnamate, Linalool, Coumarin, Butylphenyl Methylpropional, Citronellol, Geraniol, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Alpha-Isomethyl Ionone, Citral, Eugenol, Benzyl Benzoate, Benzyl Alcohol, Cinnamal, CI 60730 (Ext. Violet 2), CI 19140 (Yellow 5), CI 14700 (Red 4), CI 42090 (Blue 1).",liquid,all,No color,15.3,,Write A Review
"Me Now Super Matte Lip Liner Pencil, Matte Finish, (Set Of 12) P102 - Multicolor",Amazon,India,lips,lipliner,https://www.amazon.in/Me-Now-Super-Matte-Pencil/dp/B073YSQF7J/ref=sr_1_99?crid=2Y7AYLG6LX3II&keywords=lipliner&qid=1677168862&sprefix=lipliner%2Caps%2C277&sr=8-99,599.0,Me Now,,pencil,all,Multicolour,,3.7,2907
Perfect Intense Eau de Parfum Rollerball,ulta,USA,body,perfume,https://www.ulta.com/p/perfect-intense-eau-de-parfum-rollerball-pimprod2025955?sku=2583485,2777.8,Marc Jacobs,"Alcohol Denat., Parfum/Fragrance, Aqua/Water/Eau, Benzyl Salicylate, Hydroxycitronellal, Linalool, Butyl Methoxydibenzoylmethane, Coumarin, Alphaisomethyl Ionone, Citronellol, Benzyl Benzoate, Alcohol, Tris(Tetramethylhydroxypiperidinol) Citrate, Limonene, Isoeugenol, Fd&C Yellow No. 5 (Ci 19140), FD&C Red No. 4 (Ci 14700), FD&C Blue No. 1 (Ci 42090).",liquid,all,No color,9,4.4,869
"Ruby'S Organics Semi-Matte Lipstick | Rich Pigment, Long Lasting, Comfortable, Non-Drying, Hyd & Nourishing | Natural Organic Makeup, Paraben-Free | Bare, 3.7G",Amazon,India,lips,lipstick,https://www.amazon.in/Organics-Lipstick-Organic-Natural-Mineral/dp/B07KPFGJD4/ref=sr_1_186?crid=1PX77FJKYZQVV&keywords=lipstick&qid=1677115075&sprefix=lipstick%2Caps%2C656&sr=8-186,990.0,RUBY'S ORGANICS,,stick,all,Bare,,4,300
"Park Avenue Signature Collection Premium Body Spray for Men, 2 Voyage & 1 Neo FREE, Fresh Long Lasting Fragrance (Pack of 3) 348g/450",Flipkart,India,body,perfume,https://www.amazon.in/Park-Avenue-Super-Saver-Voyage/dp/B00ZC4U2NY/ref=sr_1_161?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677661526&sprefix=perfumes%2Caps%2C356&sr=8-161,480.0,Park Avenue,,gel,,Irresistible Fragrance,450,4.1,155
"Nyx Professional Makeup Hydra Touch Primer, 30",Amazon,India,eyes,primer,https://www.amazon.in/Nyx-Professional-Makeup-Hydra-Primer/dp/B01IE1OUY8/ref=sr_1_98?crid=2IHQ86Y60174T&keywords=eye+primer&qid=1677604886&refinements=p_n_feature_three_browse-bin%3A56163780031&rnid=56162668031&s=beauty&sprefix=eye+prime%2Caps%2C357&sr=1-98,4499.0,Nyx Professional Makeup,,liquid,,,0.03 Kilos,4.4,2164
Signature Scalp Recovery Conditioner for Dry Damaged Hair,ulta,USA,hair,shampoo,https://www.ulta.com/p/signature-scalp-recovery-conditioner-dry-damaged-hair-pimprod2032635?sku=2595419,1634.4,Sunday || Sunday,"Water (Aqua) (Eau), Cetearyl Alcohol, Brassica Alcohol, Cetearyl Nonanoate, Cocos Nucifera (Coconut) , Behentrimonium Chloride, Butyrospermum Parkii (Shea) Butter, Cocos Nucifera (Coconut) Fruit Juice, Triticum Vulgare (Wheat) Protein, Calophyllum Inophyllum Seed , Hydrogenated Palm Glycerides, Cyamopsis Tetragonoloba (Guar) Gum, Brassicyl Isoleucinate Esylate, Menthol, Menthyl Lactate, Maltodextrin, Lactobacillus Ferment, Glycerin, Hydroxyacetophenone, Glyceryl Caprylate, Propanediol Caprylate, Polyquaternium-81, Potassium Cetyl Phosphate, 1,2-Hexanediol, Trisodium Ethylenediamine Disuccinate, Caprylyl Glycol, Lactic Acid, Citric Acid, Benzoic Acid, Sodium Benzoate, Potassium Sorbate, Fragrance (Parfum), Limonene, Linalool, Citral.",liquid,"wavy,straight,curly",No color,360,4.6,7
Purifying Protective Neem & Tea Tree Night Cream,ulta,USA,skincare,eye treatment,https://www.ulta.com/p/purifying-protective-neem-tea-tree-night-cream-pimprod2023651?sku=2580909,2287.88,Urban Veda,"Aqua (Water), Isopropyl Myristate, Glycerin (Vegetable Origin), Caprylic/Capric Triglyceride, Cetearyl Alcohol, Prunus Amygdalus Dulcis (Sweet Almond) , Hamamelis Virginiana (Witch Hazel) Water, Polyglyceryl-3 Dicitrate/Stearate, Glyceryl Stearate, Phenoxyethanol, Sodium Polyacrylate, Hydroxyacetophenone, Alcohol, Melaleuca Alternifolia (Tea Tree) Leaf , Citrus Aurantium Dulcis (Orange) Peel , Cupressus Sempervirens (Cypress) , Ethylhexylglycerin, Melia Azadirachta (Neem) Seed , Xanthan Gum, Mentha Arvensis Leaf , Menthol, Sodium Phytate, Melia Azadirachta (Neem) Leaf Extract, Mentha Viridis (Spearmint) Leaf , Eucalyptus Globulus Leaf , Illicium Verum (Anise) Fruit , Arctostaphylos Uva Ursi Leaf (Bearberry) Extract, Morus Nigra (Mulberry) Root Extract, Terminalia Arjuna Bark Extract, Potassium Sorbate, Sodium Benzoate, Citric Acid, Ascorbic Acid, Limonene, Linalool",cream,"combinational,oily,normal",No color,48,5,13
Aegte Skin Filter High Coverage Concealer - Best Under Eye Concealer (Medium natural),Amazon,India,face,concealer,https://www.amazon.in/Aegte-Skin-Filter-Coverage-Concealer/dp/B0BV69BYSH/ref=sr_1_135?crid=54YWD9XCTHR1&keywords=concealer&qid=1677663361&sprefix=conce%2Caps%2C186&sr=8-135,999.0,Aegte,"Vitamin C, Licorice",powder,Full,Medium natural,,,
Brightening Mask with Vitamin C,Sephora,India,skincare,mask,https://sephora.nnnow.com/mario-badescu-brightening-mask-with-vitamin-c-NA2I6ESWN7R,2050.0,Mario Badescu,"Aqua (Water, Eau), Kaolin, Triticum Vulgare (Wheat) Starch, Glycerine, Polysorbate 80, Zinc Oxide, Sorbitol, Avena Sativa (Oat) Kernel Flour, Propylene Glycol, Tetrahexyldecyl Ascorbate, Cellulose Gum, 1,2-Hexanediol, Caprylyl Glycol, Polyacrylate-13, Parfum (Fragrance), Polyisobutene, Polysorbate 20, Sorbitan Isostearate, Tropolone, Benzyl Benzoate, CI 77891 (Titanium Dioxide)",cream,,,56,4.14,14
"RENEE See Me Shine Lip Gloss, Glossy Finish (2. Pucker Up Peach)",Amazon,India,lips,lipliner,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MDQyNzg1NTU3NzIyMTQ4OjE2NzcxNjgwNDE6c3BfYnRmOjIwMDkzMjcyMjcwMTk4OjowOjo&url=%2FRENEE-See-Me-Shine-Gloss%2Fdp%2FB08YWB7H15%2Fref%3Dsr_1_250_sspa%3Fcrid%3D2Y7AYLG6LX3II%26keywords%3Dlipliner%26qid%3D1677168041%26sprefix%3Dlipliner%252Caps%252C277%26sr%3D8-250-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,350.0,RENEE,,liquid,all,02_Pucker Up Peach,,4,4770
Superfood Facial Wash,ulta,USA,skincare,face wash,https://www.ulta.com/p/superfood-facial-wash-xlsImpprod18731129?sku=2577519,2941.2,ELEMIS,"Aqua/Water/Eau, Sodium Lauroyl Sarcosinate, Glycerin, Cocamidopropyl Betaine, Acrylates Copolymer, Polysorbate 20, Sodium Lactate, Coco-Glucoside, Glyceryl Oleate, Dicaprylyl Ether, Lauryl Alcohol, Sodium Chloride, Phenoxyethanol, Xanthan Gum, Persea Gratissima (Avocado) , Chlorphenesin, Sodium Hydroxide, Citric Acid, Fragrance (Parfum), Alpha-Glucan Oligosaccharide, Brassica Oleracea Italica (Broccoli) Seed , Cucurbita Pepo (Pumpkin) Seed , Galactoarabinan, Disodium EDTA, Salvia Hispanica Seed , Limonene, Citrus Aurantium Dulcis (Orange) Peel , Sodium Dehydroacetate, Caramel, Amyris Balsamifera Bark , Urtica Dioica (Nettle) Juice, Cymbopogon Martini , Geraniol, Linalool, Rosmarinus Officinalis (Rosemary) Leaf , Daucus Carota Sativa (Carrot) Seed , Brassica Oleracea Acephala (Kale) Leaf Extract, Triticum Aestivum (Wheatgrass) Leaf Extract, Magnesium Aspartate, Zinc Gluconate, Maltodextrin, Polyglyceryl-3 Diisostearate, Chlorophyllin-Copper Complex, Hydrogenated Palm Glycerides Citrate, Tocopherol, Copper Gluconate, Sodium Benzoate, Potassium Sorbate, Ascorbic Acid.",liquid,"combination, dry, normal, oily",No color,202.8,4.6,"2,703"
"Ozone Signature Keshrajadi Taila | Hair Oil For Men & Women | Ideal For Hair Growth, Hair Fall, Damage & Repair Hair | Retains Moisture for Healthy, Smooth & Shiny Hair ï¿½ï¿½ï¿½",Amazon,India,hair,oil,https://www.amazon.in/Ozone-Signature-Keshrajadi-Taila-Essential/dp/B07MXX8PFG/ref=sr_1_200?crid=G5PVXBOF18BV&keywords=hair+oil&qid=1677505304&sprefix=hair+oil%2Caps%2C733&sr=8-200,522.0,Ozone Signature,,liquid,all,No color,100,,0
Colorful Terrazzo Blush - T46 Dolce Vita,Sephora,India,face,blush,https://sephora.nnnow.com/benefit-cosmetics-women-hello-happy-velvet-powder-foundation---shade-05-9V2LDA6S1M3,3100.0,Benefit Cosmetics,"Mica, Lauroyl Lysine, Silica, Boron Nitride, Talc, Caprylic/Capric Triglyceride, Dimethicone, Phenyl Trimethicone, Trimethylsiloxysilicate, Octyldodecyl Stearoyl Stearate, Pentylene Glycol, Isopropyl Titanium Triisostearate, Caprylyl Glycol, Ethyl Oleate, Sodium Dehydroacetate, Ethyl Stearate, Aluminum Dimyristate, Triethoxycaprylylsilane, Disodium Stearoyl Glutamate, Bht, Polyethylene, Butyrospermum Parkii (Shea) Butter Unsaponifiables, Ethyl Linoleate, Ethyl Palmitate, Alumina, Citric Acid, Red 6/Red 7/Red 7 Lake (Ci 15850), Yellow 6/Yellow 6 Lake (Ci 15985), Yellow 5/Yellow 5 Lake (Ci 19140), Blue 1 Lake (Ci 42090), Red 27/Red 27 Lake/Red 28 Lake (Ci 45410), Red 30/Red 30 Lake (Ci 73360), Carmine (Ci 75470), Ultramarines (Ci 77007), Bismuth Oxychloride (Ci 77163), Chromium Oxide Greens (Ci 77288), Chromium Hydroxide Green (Ci 77289), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Ferric Ferrocyanide/Ferric Ammonium Ferrocyanide (Ci 77510), Manganese Violet (Ci 77742), Titanium Dioxide (Ci 77891)",powder,"Normal, Dry, Combination, Oily",Shade 05,7,3.41,31
Chili's Crew Lustreglass Lipstick,ulta,USA,lips,lipstick,https://www.ulta.com/p/chilis-crew-lustreglass-lipstick-pimprod2036492?sku=2603729,1960.8,MAC,"Diisostearyl Malate, Caprylic/Capric Triglyceride, Ricinus Communis (Castor) Seed , Hydrogenated Polydecene, Bis-Diglyceryl Polyacyladipate-2, Polyethylene, Trioctyldodecyl Citrate, Polybutene, Silica, Ozokerite, Euphorbia Cerifera (Candelilla) Wax\Candelilla Cera\Cire De Candelilla, Octyldodecanol, Calcium Aluminum Borosilicate, Tocopheryl Acetate, Sodium Hyaluronate, Squalane, Butyrospermum Parkii (Shea) Butter, Cocos Nucifera (Coconut) , Glycine Soja (Soybean) Seed Extract, Hordeum Vulgare (Barley) Extract\Extrait D'Orge, Olea Europaea (Olive) Fruit , Rubus Idaeus (Raspberry) Seed , Simmondsia Chinensis (Jojoba) Seed , Triticum Vulgare (Wheat) Germ Extract, C12-15 Alkyl Benzoate, Ceramide Ng, Tribehenin, Palmitoyl Hexapeptide-12, Titanium/Titanium Dioxide, Alumina, Synthetic Fluorphlogopite, Aluminum Calcium Sodium Silicate, Calcium Sodium Borosilicate, Tin Oxide, Peg-10 Phytosterol, Linoleic Acid, Ethylhexyl Hydroxystearate, Phytosteryl Isostearate, Hydrogenated Castor , Vanillin, Tetrahexyldecyl Ascorbate, Phenoxyethanol, Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Bismuth Oxychloride (CI 77163), Bronze Powder (CI 77400), Blue 1 Lake (CI 42090), Carmine (CI 75470), Copper Powder (CI 77400), Red 6 (CI 15850), Red 7 (CI 15850), Red 21 (CI 45380), Red 27 (CI 45410), Red 28 (CI 45410), Red 30 (CI 73360), Red 33 (CI 17200), Red 6 Lake (CI 15850), Red 7 Lake (CI 15850), Red 21 Lake (CI 45380), Red 27 Lake (CI 45410), Red 28 Lake (CI 45410), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Yellow 5 (CI 19140), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985)].",stick,shimmer,Chili Popper (warm brick Red),900,4.5,"2,081"
