Date,F.Y,QUARTER,P_NO,PAYMENT TYPE,TYPE OF PRODUCT,Quantity,Price,Amount,TYPE OF ACCESSORY/MOBILE
04-02-2019,2018-2019,4,P/M/A20,DEBIT,MOBILE,1,16455.36,16955.36,MIDRANGE PHONE
22-09-2019,2019-2020,2,P/M/A77,MOBILE PAYMENTS,MOBILE,1,70927.68,71427.68,FLAGSHIP PHONE
12-09-2021,2021-2022,2,P/M/A63,CREDIT,MOBILE,1,16375.0,16875.0,MIDRANGE PHONE
11-08-2019,2019-2020,2,P/M/A23,DEBIT,MOBILE,1,750.0,1250.0,BUDGET PHONE
05-07-2021,2021-2022,2,P/M/A63,DEBIT,MOBILE,5,12089.29,62946.43,BUDGET PHONE
24-08-2021,2021-2022,2,P/M/A59,DEBIT,MOBILE,1,11098.22,11598.22,BUDGET PHONE
20-05-2018,2018-2019,1,P/A/17,CASH,ACCESSORY,1,685.6,1185.6,BATTERY
15-04-2019,2019-2020,1,P/M/A3,MOBILE PAYMENTS,MOBILE,1,10651.78,11151.78,BUDGET PHONE
21-04-2019,2019-2020,1,P/A/35,CREDIT,ACCESSORY,1,2042.38,2542.38,COVER
10-08-2019,2019-2020,2,P/M/A24,MOBILE PAYMENTS,MOBILE,1,950.9,1450.9,BUDGET PHONE
11-08-2021,2021-2022,2,P/M/A40,MOBILE PAYMENTS,MOBILE,1,40562.5,41062.5,PREMIUM MIDRANGE PHONE
19-12-2019,2019-2020,3,P/A/41,CREDIT,ACCESSORY,1,2211.86,2711.86,POWER BANK
04-08-2021,2021-2022,2,P/M/A14,DEBIT,MOBILE,1,20919.64,21419.64,MIDRANGE PHONE
06-06-2019,2019-2020,1,P/M/A3,MOBILE PAYMENTS,MOBILE,1,10651.78,11151.78,BUDGET PHONE
06-10-2019,2019-2020,3,P/M/A76,MOBILE PAYMENTS,MOBILE,1,61999.1,62499.1,FLAGSHIP PHONE
28-01-2019,2018-2019,4,P/M/A58,MOBILE PAYMENTS,MOBILE,1,8419.64,8919.64,BUDGET PHONE
06-03-2020,2019-2020,4,P/M/A48,CREDIT,MOBILE,1,65570.54,66070.54,FLAGSHIP PHONE
12-11-2019,2019-2020,3,P/A/47,CASH,ACCESSORY,1,1449.16,1949.16,WIRELESS HEADSET
19-08-2018,2018-2019,2,P/M/A59,CREDIT,MOBILE,1,11098.22,11598.22,BUDGET PHONE
14-07-2021,2021-2022,2,P/M/A64,CREDIT,MOBILE,1,16455.36,16955.36,MIDRANGE PHONE
25-04-2019,2019-2020,1,P/M/A3,MOBILE PAYMENTS,MOBILE,1,10651.78,11151.78,BUDGET PHONE
21-10-2018,2018-2019,3,P/A/19,DEBIT,ACCESSORY,1,685.6,1185.6,BATTERY
12-07-2021,2021-2022,2,P/M/A63,DEBIT,MOBILE,1,15883.92,16383.92,MIDRANGE PHONE
22-01-2022,2021-2022,4,P/M/A8,CREDIT,MOBILE,1,13784.82,14284.82,BUDGET PHONE
15-11-2022,2022-2023,3,P/A/22,MOBILE PAYMENTS,ACCESSORY,1,432.2,932.2,CHARGER 
13-07-2018,2018-2019,2,P/M/A14,CASH,MOBILE,1,20919.64,21419.64,MIDRANGE PHONE
06-06-2021,2021-2022,1,P/M/A55,CREDIT,MOBILE,1,6375.0,6875.0,BUDGET PHONE
13-07-2019,2019-2020,2,P/A/22,CASH,ACCESSORY,1,508.48,1008.48,CHARGER 
15-08-2022,2022-2023,2,P/A/41,CREDIT,ACCESSORY,1,771.18,1271.18,POWER BANK
01-05-2019,2019-2020,1,P/M/A15,DEBIT,MOBILE,1,25383.92,25883.92,MIDRANGE PHONE
13-10-2021,2021-2022,3,P/M/A65,CREDIT,MOBILE,1,3736.44,4236.44,BUDGET PHONE
22-10-2021,2021-2022,3,P/M/A65,MOBILE PAYMENTS,MOBILE,1,3736.44,4236.44,BUDGET PHONE
04-01-2020,2019-2020,4,P/M/A11,CASH,MOBILE,1,17356.24,17856.24,MIDRANGE PHONE
