Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
2014-04-13,13,April,2014,29,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,961,1266,2227
2016-04-19,19,April,2016,31,Young Adults (25-34),M,France,Somme,Bikes,Road Bikes,"Road-250 Black, 48",3,1555,2443,1345,4665,6010
2014-01-08,8,January,2014,31,Young Adults (25-34),F,Australia,Victoria,Clothing,Gloves,"Half-Finger Gloves, S",6,9,24,60,54,114
2016-01-15,15,January,2016,47,Adults (35-64),F,France,Val d'Oise,Accessories,Tires and Tubes,LL Road Tire,1,8,21,9,8,17
2014-05-21,21,May,2014,21,Youth (<25),M,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,13,2,5,38,26,64
2016-04-09,9,April,2016,50,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Touring Tire Tube,1,2,5,3,2,5
2015-07-29,29,July,2015,42,Adults (35-64),M,Australia,South Australia,Bikes,Touring Bikes,"Touring-1000 Blue, 46",1,1482,2384,473,1482,1955
2016-01-07,7,January,2016,46,Adults (35-64),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,27,18,45
2016-07-31,31,July,2016,48,Adults (35-64),F,United States,Washington,Accessories,Cleaners,Bike Wash - Dissolver,12,3,8,39,36,75
2015-12-14,14,December,2015,33,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,29,2,5,86,58,144
2015-08-24,24,August,2015,38,Adults (35-64),F,United States,Oregon,Clothing,Gloves,"Half-Finger Gloves, S",1,9,24,12,9,21
2014-06-21,21,June,2014,46,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,12,2,5,35,24,59
2015-11-25,25,November,2015,33,Young Adults (25-34),M,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",24,38,50,276,912,1188
2013-08-22,22,August,2013,23,Youth (<25),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,1008,1266,2274
2013-12-13,13,December,2013,53,Adults (35-64),M,Australia,New South Wales,Clothing,Socks,"Racing Socks, M",7,3,9,34,21,55
2014-06-28,28,June,2014,41,Adults (35-64),M,United States,Oregon,Clothing,Gloves,"Half-Finger Gloves, S",29,9,24,338,261,599
