method,dataset,feature,value,prefix,id,correct
GPT-4o,AirlinesCustomerSatisfaction,URIs,owl:Ontology,owl,Ontology,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,owl:Class,owl,Class,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,xsd:integer,xsd,integer,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,rdfs:Literal,rdfs,Literal,TRUE
GPT-4o,AmazonRating,total,11,NA,NA,NA
GPT-4o,AmazonRating,validity,11,NA,NA,NA
GPT-4o,AmazonRating,corrected,0,NA,NA,NA
GPT-4o,AmazonRating,URIs,owl:Ontology,owl,Ontology,TRUE
GPT-4o,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o,AmazonRating,URIs,owl:Class,owl,Class,TRUE
GPT-4o,AmazonRating,URIs,rdfs:label,rdfs,label,TRUE
GPT-4o,AmazonRating,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4o,AmazonRating,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o,AmazonRating,URIs,xsd:string,xsd,string,TRUE
GPT-4o,AmazonRating,URIs,xsd:float,xsd,float,TRUE
GPT-4o,AmazonRating,URIs,xsd:dateTime,xsd,dateTime,TRUE
GPT-4o,BigBasketProducts,total,10,NA,NA,NA
GPT-4o,BigBasketProducts,validity,10,NA,NA,NA
GPT-4o,BigBasketProducts,corrected,0,NA,NA,NA
GPT-4o,BigBasketProducts,URIs,owl:Ontology,owl,Ontology,TRUE
GPT-4o,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
GPT-4o,BigBasketProducts,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4o,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o,BigBasketProducts,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o,BigBasketProducts,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
GPT-4o,BigBasketProducts,URIs,xsd:decimal,xsd,decimal,TRUE
GPT-4o,BigBasketProducts,URIs,xsd:anyURI,xsd,anyURI,TRUE
GPT-4o,BrazilianE-commerce,total,10,NA,NA,NA
GPT-4o,BrazilianE-commerce,validity,10,NA,NA,NA
GPT-4o,BrazilianE-commerce,corrected,0,NA,NA,NA
GPT-4o,BrazilianE-commerce,URIs,owl:Ontology,owl,Ontology,TRUE
GPT-4o,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
GPT-4o,BrazilianE-commerce,URIs,rdfs:label,rdfs,label,TRUE
GPT-4o,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4o,BrazilianE-commerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
GPT-4o,BrazilianE-commerce,URIs,xsd:integer,xsd,integer,TRUE
GPT-4o,CustomerComplaint,total,12,NA,NA,NA
GPT-4o,CustomerComplaint,validity,12,NA,NA,NA
GPT-4o,CustomerComplaint,corrected,0,NA,NA,NA
GPT-4o,CustomerComplaint,URIs,owl:Ontology,owl,Ontology,TRUE
GPT-4o,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
GPT-4o,CustomerComplaint,URIs,rdfs:label,rdfs,label,TRUE
GPT-4o,CustomerComplaint,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4o,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o,CustomerComplaint,URIs,xsd:date,xsd,date,TRUE
GPT-4o,CustomerComplaint,URIs,xsd:string,xsd,string,TRUE
GPT-4o,CustomerComplaint,URIs,xsd:boolean,xsd,boolean,TRUE
GPT-4o,CustomerComplaint,URIs,xsd:integer,xsd,integer,TRUE
GPT-4o,eCommerce,total,12,NA,NA,NA
GPT-4o,eCommerce,validity,12,NA,NA,NA
GPT-4o,eCommerce,corrected,0,NA,NA,NA
GPT-4o,eCommerce,URIs,owl:Ontology,owl,Ontology,TRUE
GPT-4o,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o,eCommerce,URIs,owl:Class,owl,Class,TRUE
GPT-4o,eCommerce,URIs,rdfs:label,rdfs,label,TRUE
GPT-4o,eCommerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4o,eCommerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o,eCommerce,URIs,xsd:dateTime,xsd,dateTime,TRUE
GPT-4o,eCommerce,URIs,xsd:string,xsd,string,TRUE
GPT-4o,eCommerce,URIs,xsd:integer,xsd,integer,TRUE
GPT-4o,eCommerce,URIs,xsd:decimal,xsd,decimal,TRUE
GPT-4o-mini,AirlinesCustomerSatisfaction,total,11,NA,NA,NA
GPT-4o-mini,AirlinesCustomerSatisfaction,validity,11,NA,NA,NA
GPT-4o-mini,AirlinesCustomerSatisfaction,corrected,0,NA,NA,NA
GPT-4o-mini,AirlinesCustomerSatisfaction,URIs,owl:Ontology,owl,Ontology,TRUE
GPT-4o-mini,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o-mini,AirlinesCustomerSatisfaction,URIs,owl:Class,owl,Class,TRUE
GPT-4o-mini,AirlinesCustomerSatisfaction,URIs,rdfs:label,rdfs,label,TRUE
GPT-4o-mini,AirlinesCustomerSatisfaction,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4o-mini,AirlinesCustomerSatisfaction,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o-mini,AirlinesCustomerSatisfaction,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o-mini,AirlinesCustomerSatisfaction,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o-mini,AirlinesCustomerSatisfaction,URIs,xsd:string,xsd,string,TRUE
GPT-4o-mini,AirlinesCustomerSatisfaction,URIs,xsd:integer,xsd,integer,TRUE
GPT-4o-mini,AirlinesCustomerSatisfaction,URIs,xsd:float,xsd,float,TRUE
GPT-4o-mini,AmazonRating,total,10,NA,NA,NA
GPT-4o-mini,AmazonRating,validity,10,NA,NA,NA
GPT-4o-mini,AmazonRating,corrected,0,NA,NA,NA
GPT-4o-mini,AmazonRating,URIs,owl:Ontology,owl,Ontology,TRUE
GPT-4o-mini,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o-mini,AmazonRating,URIs,owl:Class,owl,Class,TRUE
GPT-4o-mini,AmazonRating,URIs,rdfs:label,rdfs,label,TRUE
GPT-4o-mini,AmazonRating,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4o-mini,AmazonRating,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o-mini,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o-mini,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o-mini,AmazonRating,URIs,xsd:integer,xsd,integer,TRUE
GPT-4o-mini,AmazonRating,URIs,xsd:float,xsd,float,TRUE
GPT-4o-mini,BigBasketProducts,total,10,NA,NA,NA
GPT-4o-mini,BigBasketProducts,validity,10,NA,NA,NA
GPT-4o-mini,BigBasketProducts,corrected,0,NA,NA,NA
GPT-4o-mini,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o-mini,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
GPT-4o-mini,BigBasketProducts,URIs,rdfs:label,rdfs,label,TRUE
GPT-4o-mini,BigBasketProducts,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4o-mini,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o-mini,BigBasketProducts,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o-mini,BigBasketProducts,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o-mini,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
GPT-4o-mini,BigBasketProducts,URIs,xsd:decimal,xsd,decimal,TRUE
GPT-4o-mini,BigBasketProducts,URIs,xsd:anyURI,xsd,anyURI,TRUE
GPT-4o-mini,BrazilianE-commerce,total,10,NA,NA,NA
GPT-4o-mini,BrazilianE-commerce,validity,10,NA,NA,NA
GPT-4o-mini,BrazilianE-commerce,corrected,0,NA,NA,NA
GPT-4o-mini,BrazilianE-commerce,URIs,owl:Ontology,owl,Ontology,TRUE
GPT-4o-mini,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o-mini,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
GPT-4o-mini,BrazilianE-commerce,URIs,rdfs:label,rdfs,label,TRUE
GPT-4o-mini,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4o-mini,BrazilianE-commerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o-mini,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o-mini,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o-mini,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
GPT-4o-mini,BrazilianE-commerce,URIs,xsd:dateTime,xsd,dateTime,TRUE
GPT-4o-mini,CustomerComplaint,total,10,NA,NA,NA
GPT-4o-mini,CustomerComplaint,validity,10,NA,NA,NA
GPT-4o-mini,CustomerComplaint,corrected,0,NA,NA,NA
GPT-4o-mini,CustomerComplaint,URIs,owl:Ontology,owl,Ontology,TRUE
GPT-4o-mini,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o-mini,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
GPT-4o-mini,CustomerComplaint,URIs,rdfs:label,rdfs,label,TRUE
GPT-4o-mini,CustomerComplaint,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4o-mini,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o-mini,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o-mini,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o-mini,CustomerComplaint,URIs,xsd:string,xsd,string,TRUE
GPT-4o-mini,CustomerComplaint,URIs,xsd:date,xsd,date,TRUE
GPT-4o-mini,eCommerce,total,12,NA,NA,NA
GPT-4o-mini,eCommerce,validity,12,NA,NA,NA
GPT-4o-mini,eCommerce,corrected,0,NA,NA,NA
GPT-4o-mini,eCommerce,URIs,owl:Ontology,owl,Ontology,TRUE
GPT-4o-mini,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o-mini,eCommerce,URIs,owl:Class,owl,Class,TRUE
GPT-4o-mini,eCommerce,URIs,rdfs:label,rdfs,label,TRUE
GPT-4o-mini,eCommerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4o-mini,eCommerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o-mini,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o-mini,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o-mini,eCommerce,URIs,xsd:string,xsd,string,TRUE
GPT-4o-mini,eCommerce,URIs,xsd:integer,xsd,integer,TRUE
GPT-4o-mini,eCommerce,URIs,xsd:decimal,xsd,decimal,TRUE
GPT-4o-mini,eCommerce,URIs,xsd:dateTime,xsd,dateTime,TRUE
