method,quantization,dataset,feature,value,correct
llama-2-7b,8bits,BigBasketProducts,corrected,0,NA
llama-2-7b,8bits,BigBasketProducts,prefixes,rdf,TRUE
llama-2-7b,8bits,BigBasketProducts,prefixes,rdfs,TRUE
llama-2-7b,8bits,BigBasketProducts,prefixes,owl,TRUE
llama-2-7b,8bits,BigBasketProducts,prefixes,xsd,TRUE
llama-2-7b,all,BigBasketProducts,total,4,NA
llama-2-7b,all,BigBasketProducts,validity,4,NA
llama-2-7b,all,BigBasketProducts,corrected,0,NA
llama-2-7b,all,BigBasketProducts,prefixes,rdf,TRUE
llama-2-7b,all,BigBasketProducts,prefixes,rdfs,TRUE
llama-2-7b,all,BigBasketProducts,prefixes,owl,TRUE
llama-2-7b,all,BigBasketProducts,prefixes,xsd,TRUE
llama-2-7b,4bits,BrazilianE-commerce,total,4,NA
llama-2-7b,4bits,BrazilianE-commerce,validity,4,NA
llama-2-7b,4bits,BrazilianE-commerce,corrected,0,NA
llama-2-7b,4bits,BrazilianE-commerce,prefixes,rdf,TRUE
llama-2-7b,4bits,BrazilianE-commerce,prefixes,rdfs,TRUE
llama-2-7b,4bits,BrazilianE-commerce,prefixes,owl,TRUE
llama-2-7b,4bits,BrazilianE-commerce,prefixes,xsd,TRUE
llama-2-7b,8bits,BrazilianE-commerce,total,4,NA
llama-2-7b,8bits,BrazilianE-commerce,validity,4,NA
llama-2-7b,8bits,BrazilianE-commerce,corrected,0,NA
llama-2-7b,8bits,BrazilianE-commerce,prefixes,rdf,TRUE
llama-2-7b,8bits,BrazilianE-commerce,prefixes,rdfs,TRUE
llama-2-7b,8bits,BrazilianE-commerce,prefixes,owl,TRUE
llama-2-7b,8bits,BrazilianE-commerce,prefixes,xsd,TRUE
llama-2-7b,all,BrazilianE-commerce,total,4,NA
llama-2-7b,all,BrazilianE-commerce,validity,4,NA
llama-2-7b,all,BrazilianE-commerce,corrected,0,NA
llama-2-7b,all,BrazilianE-commerce,prefixes,rdf,TRUE
llama-2-7b,all,BrazilianE-commerce,prefixes,rdfs,TRUE
llama-2-7b,all,BrazilianE-commerce,prefixes,owl,TRUE
llama-2-7b,all,BrazilianE-commerce,prefixes,xsd,TRUE
llama-2-7b,4bits,CustomerComplaint,total,4,NA
llama-2-7b,4bits,CustomerComplaint,validity,4,NA
llama-2-7b,4bits,CustomerComplaint,corrected,0,NA
llama-2-7b,4bits,CustomerComplaint,prefixes,rdf,TRUE
llama-2-7b,4bits,CustomerComplaint,prefixes,rdfs,TRUE
llama-2-7b,4bits,CustomerComplaint,prefixes,owl,TRUE
llama-2-7b,4bits,CustomerComplaint,prefixes,xsd,TRUE
llama-2-7b,8bits,CustomerComplaint,total,4,NA
llama-2-7b,8bits,CustomerComplaint,validity,4,NA
llama-2-7b,8bits,CustomerComplaint,corrected,0,NA
llama-2-7b,8bits,CustomerComplaint,prefixes,rdf,TRUE
llama-2-7b,8bits,CustomerComplaint,prefixes,rdfs,TRUE
llama-2-7b,8bits,CustomerComplaint,prefixes,owl,TRUE
llama-2-7b,8bits,CustomerComplaint,prefixes,xsd,TRUE
llama-2-7b,all,CustomerComplaint,total,4,NA
llama-2-7b,all,CustomerComplaint,validity,4,NA
llama-2-7b,all,CustomerComplaint,corrected,0,NA
llama-2-7b,all,CustomerComplaint,prefixes,rdf,TRUE
llama-2-7b,all,CustomerComplaint,prefixes,rdfs,TRUE
llama-2-7b,all,CustomerComplaint,prefixes,owl,TRUE
llama-2-7b,all,CustomerComplaint,prefixes,xsd,TRUE
llama-2-7b,4bits,eCommerce,total,4,NA
llama-2-7b,4bits,eCommerce,validity,4,NA
llama-2-7b,4bits,eCommerce,corrected,0,NA
llama-2-7b,4bits,eCommerce,prefixes,rdf,TRUE
llama-2-7b,4bits,eCommerce,prefixes,rdfs,TRUE
llama-2-7b,4bits,eCommerce,prefixes,owl,TRUE
llama-2-7b,4bits,eCommerce,prefixes,xsd,TRUE
llama-2-7b,8bits,eCommerce,total,4,NA
llama-2-7b,8bits,eCommerce,validity,4,NA
llama-2-7b,8bits,eCommerce,corrected,0,NA
llama-2-7b,8bits,eCommerce,prefixes,rdf,TRUE
llama-2-7b,8bits,eCommerce,prefixes,rdfs,TRUE
llama-2-7b,8bits,eCommerce,prefixes,owl,TRUE
llama-2-7b,8bits,eCommerce,prefixes,xsd,TRUE
llama-2-7b,all,eCommerce,total,4,NA
llama-2-7b,all,eCommerce,validity,4,NA
llama-2-7b,all,eCommerce,corrected,0,NA
llama-2-7b,all,eCommerce,prefixes,rdf,TRUE
llama-2-7b,all,eCommerce,prefixes,rdfs,TRUE
llama-2-7b,all,eCommerce,prefixes,owl,TRUE
llama-2-7b,all,eCommerce,prefixes,xsd,TRUE
llama-3-8b,4bits,AirlinesCustomerSatisfaction,total,4,NA
llama-3-8b,4bits,AirlinesCustomerSatisfaction,validity,4,NA
llama-3-8b,4bits,AirlinesCustomerSatisfaction,corrected,0,NA
llama-3-8b,4bits,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
llama-3-8b,4bits,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
llama-3-8b,4bits,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
llama-3-8b,4bits,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,total,4,NA
llama-3-8b,8bits,AirlinesCustomerSatisfaction,validity,4,NA
llama-3-8b,8bits,AirlinesCustomerSatisfaction,corrected,0,NA
llama-3-8b,8bits,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,total,4,NA
llama-3-8b,all,AirlinesCustomerSatisfaction,validity,4,NA
llama-3-8b,all,AirlinesCustomerSatisfaction,corrected,0,NA
llama-3-8b,all,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
llama-3-8b,4bits,AmazonRating,total,4,NA
llama-3-8b,4bits,AmazonRating,validity,4,NA
llama-3-8b,4bits,AmazonRating,corrected,0,NA
llama-3-8b,4bits,AmazonRating,prefixes,rdf,TRUE
llama-3-8b,4bits,AmazonRating,prefixes,rdfs,TRUE
llama-3-8b,4bits,AmazonRating,prefixes,owl,TRUE
llama-3-8b,4bits,AmazonRating,prefixes,xsd,TRUE
llama-3-8b,8bits,AmazonRating,total,4,NA
llama-3-8b,8bits,AmazonRating,validity,4,NA
llama-3-8b,8bits,AmazonRating,corrected,0,NA
llama-3-8b,8bits,AmazonRating,prefixes,rdf,TRUE
llama-3-8b,8bits,AmazonRating,prefixes,rdfs,TRUE
llama-3-8b,8bits,AmazonRating,prefixes,owl,TRUE
llama-3-8b,8bits,AmazonRating,prefixes,xsd,TRUE
llama-3-8b,all,AmazonRating,total,4,NA
llama-3-8b,all,AmazonRating,validity,4,NA
llama-3-8b,all,AmazonRating,corrected,0,NA
llama-3-8b,all,AmazonRating,prefixes,rdf,TRUE
llama-3-8b,all,AmazonRating,prefixes,rdfs,TRUE
llama-3-8b,all,AmazonRating,prefixes,owl,TRUE
llama-3-8b,all,AmazonRating,prefixes,xsd,TRUE
llama-3-8b,4bits,BigBasketProducts,total,4,NA
llama-3-8b,4bits,BigBasketProducts,validity,4,NA
llama-3-8b,4bits,BigBasketProducts,corrected,0,NA
llama-3-8b,4bits,BigBasketProducts,prefixes,rdf,TRUE
llama-3-8b,4bits,BigBasketProducts,prefixes,rdfs,TRUE
llama-3-8b,4bits,BigBasketProducts,prefixes,owl,TRUE
llama-3-8b,4bits,BigBasketProducts,prefixes,xsd,TRUE
llama-3-8b,8bits,BigBasketProducts,total,4,NA
llama-3-8b,8bits,BigBasketProducts,validity,4,NA
llama-3-8b,8bits,BigBasketProducts,corrected,0,NA
llama-3-8b,8bits,BigBasketProducts,prefixes,rdf,TRUE
llama-3-8b,8bits,BigBasketProducts,prefixes,rdfs,TRUE
llama-3-8b,8bits,BigBasketProducts,prefixes,owl,TRUE
llama-3-8b,8bits,BigBasketProducts,prefixes,xsd,TRUE
llama-3-8b,all,BigBasketProducts,total,4,NA
llama-3-8b,all,BigBasketProducts,validity,4,NA
llama-3-8b,all,BigBasketProducts,corrected,0,NA
llama-3-8b,all,BigBasketProducts,prefixes,rdf,TRUE
llama-3-8b,all,BigBasketProducts,prefixes,rdfs,TRUE
llama-3-8b,all,BigBasketProducts,prefixes,owl,TRUE
llama-3-8b,all,BigBasketProducts,prefixes,xsd,TRUE
llama-3-8b,4bits,BrazilianE-commerce,total,4,NA
llama-3-8b,4bits,BrazilianE-commerce,validity,4,NA
llama-3-8b,4bits,BrazilianE-commerce,corrected,0,NA
llama-3-8b,4bits,BrazilianE-commerce,prefixes,rdf,TRUE
llama-3-8b,4bits,BrazilianE-commerce,prefixes,rdfs,TRUE
llama-3-8b,4bits,BrazilianE-commerce,prefixes,owl,TRUE
llama-3-8b,4bits,BrazilianE-commerce,prefixes,xsd,TRUE
llama-3-8b,8bits,BrazilianE-commerce,total,4,NA
llama-3-8b,8bits,BrazilianE-commerce,validity,4,NA
llama-3-8b,8bits,BrazilianE-commerce,corrected,0,NA
llama-3-8b,8bits,BrazilianE-commerce,prefixes,rdf,TRUE
llama-3-8b,8bits,BrazilianE-commerce,prefixes,rdfs,TRUE
llama-3-8b,8bits,BrazilianE-commerce,prefixes,owl,TRUE
llama-3-8b,8bits,BrazilianE-commerce,prefixes,xsd,TRUE
llama-3-8b,all,BrazilianE-commerce,total,4,NA
llama-3-8b,all,BrazilianE-commerce,validity,4,NA
llama-3-8b,all,BrazilianE-commerce,corrected,0,NA
llama-3-8b,all,BrazilianE-commerce,prefixes,rdf,TRUE
llama-3-8b,all,BrazilianE-commerce,prefixes,rdfs,TRUE
llama-3-8b,all,BrazilianE-commerce,prefixes,owl,TRUE
llama-3-8b,all,BrazilianE-commerce,prefixes,xsd,TRUE
llama-3-8b,4bits,CustomerComplaint,total,4,NA
llama-3-8b,4bits,CustomerComplaint,validity,4,NA
llama-3-8b,4bits,CustomerComplaint,corrected,0,NA
llama-3-8b,4bits,CustomerComplaint,prefixes,rdf,TRUE
llama-3-8b,4bits,CustomerComplaint,prefixes,rdfs,TRUE
llama-3-8b,4bits,CustomerComplaint,prefixes,owl,TRUE
llama-3-8b,4bits,CustomerComplaint,prefixes,xsd,TRUE
llama-3-8b,8bits,CustomerComplaint,total,4,NA
llama-3-8b,8bits,CustomerComplaint,validity,4,NA
llama-3-8b,8bits,CustomerComplaint,corrected,0,NA
llama-3-8b,8bits,CustomerComplaint,prefixes,rdf,TRUE
llama-3-8b,8bits,CustomerComplaint,prefixes,rdfs,TRUE
llama-3-8b,8bits,CustomerComplaint,prefixes,owl,TRUE
llama-3-8b,8bits,CustomerComplaint,prefixes,xsd,TRUE
llama-3-8b,all,CustomerComplaint,total,4,NA
llama-3-8b,all,CustomerComplaint,validity,4,NA
llama-3-8b,all,CustomerComplaint,corrected,0,NA
llama-3-8b,all,CustomerComplaint,prefixes,rdf,TRUE
llama-3-8b,all,CustomerComplaint,prefixes,rdfs,TRUE
llama-3-8b,all,CustomerComplaint,prefixes,owl,TRUE
llama-3-8b,all,CustomerComplaint,prefixes,xsd,TRUE
llama-3-8b,4bits,eCommerce,total,4,NA
llama-3-8b,4bits,eCommerce,validity,4,NA
llama-3-8b,4bits,eCommerce,corrected,0,NA
llama-3-8b,4bits,eCommerce,prefixes,rdf,TRUE
llama-3-8b,4bits,eCommerce,prefixes,rdfs,TRUE
llama-3-8b,4bits,eCommerce,prefixes,owl,TRUE
llama-3-8b,4bits,eCommerce,prefixes,xsd,TRUE
llama-3-8b,8bits,eCommerce,total,4,NA
llama-3-8b,8bits,eCommerce,validity,4,NA
llama-3-8b,8bits,eCommerce,corrected,0,NA
llama-3-8b,8bits,eCommerce,prefixes,rdf,TRUE
llama-3-8b,8bits,eCommerce,prefixes,rdfs,TRUE
llama-3-8b,8bits,eCommerce,prefixes,owl,TRUE
llama-3-8b,8bits,eCommerce,prefixes,xsd,TRUE
llama-3-8b,all,eCommerce,total,4,NA
llama-3-8b,all,eCommerce,validity,4,NA
llama-3-8b,all,eCommerce,corrected,0,NA
llama-3-8b,all,eCommerce,prefixes,rdf,TRUE
llama-3-8b,all,eCommerce,prefixes,rdfs,TRUE
llama-3-8b,all,eCommerce,prefixes,owl,TRUE
llama-3-8b,all,eCommerce,prefixes,xsd,TRUE
