method,quantization,dataset,feature,value,prefix,id,correct
llama-2-13b,8bits,AmazonRating,URIs,owl:hasSelf,owl,hasSelf,TRUE
llama-2-13b,8bits,AmazonRating,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-2-13b,8bits,AmazonRating,URIs,rdf:domain,rdf,domain,FALSE
llama-2-13b,8bits,AmazonRating,URIs,rdf:range,rdf,range,FALSE
llama-2-13b,8bits,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-13b,8bits,AmazonRating,URIs,xsd:string,xsd,string,TRUE
llama-2-13b,8bits,AmazonRating,URIs,xsd:integer,xsd,integer,TRUE
llama-2-13b,all,AmazonRating,total,6,NA,NA,NA
llama-2-13b,all,AmazonRating,validity,3,NA,NA,NA
llama-2-13b,all,AmazonRating,corrected,3,NA,NA,NA
llama-2-13b,all,AmazonRating,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-13b,all,AmazonRating,URIs,owl:Class,owl,Class,TRUE
llama-2-13b,all,AmazonRating,URIs,owl:SubClassOf,owl,SubClassOf,FALSE
llama-2-13b,all,AmazonRating,URIs,owl:has_key,owl,has_key,FALSE
llama-2-13b,all,AmazonRating,URIs,owl:has_value,owl,has_value,FALSE
llama-2-13b,all,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-13b,4bits,BigBasketProducts,total,7,NA,NA,NA
llama-2-13b,4bits,BigBasketProducts,validity,5,NA,NA,NA
llama-2-13b,4bits,BigBasketProducts,corrected,2,NA,NA,NA
llama-2-13b,4bits,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
llama-2-13b,4bits,BigBasketProducts,URIs,owl:inverseOf,owl,inverseOf,TRUE
llama-2-13b,4bits,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-13b,4bits,BigBasketProducts,URIs,owl:domain,owl,domain,FALSE
llama-2-13b,4bits,BigBasketProducts,URIs,owl:range,owl,range,FALSE
llama-2-13b,4bits,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-13b,4bits,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
llama-2-13b,8bits,BigBasketProducts,total,15,NA,NA,NA
llama-2-13b,8bits,BigBasketProducts,validity,5,NA,NA,NA
llama-2-13b,8bits,BigBasketProducts,corrected,10,NA,NA,NA
llama-2-13b,8bits,BigBasketProducts,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-13b,8bits,BigBasketProducts,URIs,owl:imports,owl,imports,TRUE
llama-2-13b,8bits,BigBasketProducts,URIs,owl:class,owl,class,FALSE
llama-2-13b,8bits,BigBasketProducts,URIs,owl:subClassOf,owl,subClassOf,FALSE
llama-2-13b,8bits,BigBasketProducts,URIs,owl:hasSelf,owl,hasSelf,TRUE
llama-2-13b,8bits,BigBasketProducts,URIs,owl:property,owl,property,FALSE
llama-2-13b,8bits,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-13b,8bits,BigBasketProducts,URIs,owl:domain,owl,domain,FALSE
llama-2-13b,8bits,BigBasketProducts,URIs,owl:range,owl,range,FALSE
llama-2-13b,8bits,BigBasketProducts,URIs,owl:dataRange,owl,dataRange,FALSE
llama-2-13b,8bits,BigBasketProducts,URIs,owl:URI,owl,URI,FALSE
llama-2-13b,8bits,BigBasketProducts,URIs,owl:value,owl,value,FALSE
llama-2-13b,8bits,BigBasketProducts,URIs,owl:Text,owl,Text,FALSE
llama-2-13b,8bits,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-13b,8bits,BigBasketProducts,URIs,owl:DataProperty,owl,DataProperty,FALSE
llama-2-13b,all,BigBasketProducts,total,11,NA,NA,NA
llama-2-13b,all,BigBasketProducts,validity,7,NA,NA,NA
llama-2-13b,all,BigBasketProducts,corrected,4,NA,NA,NA
llama-2-13b,all,BigBasketProducts,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-13b,all,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-13b,all,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
llama-2-13b,all,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-13b,all,BigBasketProducts,URIs,owl:DatatyeProperty,owl,DatatyeProperty,TRUE
llama-2-13b,all,BigBasketProducts,URIs,owl:hasSelf,owl,hasSelf,TRUE
llama-2-13b,all,BigBasketProducts,URIs,owl:hasKey,owl,hasKey,TRUE
llama-2-13b,all,BigBasketProducts,URIs,owl:hasDomain,owl,hasDomain,FALSE
llama-2-13b,all,BigBasketProducts,URIs,owl:hasRange,owl,hasRange,FALSE
llama-2-13b,all,BigBasketProducts,URIs,owl:NumericDatatype,owl,NumericDatatype,FALSE
llama-2-13b,all,BigBasketProducts,URIs,owl:StringDatatype,owl,StringDatatype,FALSE
llama-2-13b,4bits,BrazilianE-commerce,total,6,NA,NA,NA
llama-2-13b,4bits,BrazilianE-commerce,validity,4,NA,NA,NA
llama-2-13b,4bits,BrazilianE-commerce,corrected,2,NA,NA,NA
llama-2-13b,4bits,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-13b,4bits,BrazilianE-commerce,URIs,owl:ontologyProperty,owl,ontologyProperty,FALSE
llama-2-13b,4bits,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
llama-2-13b,4bits,BrazilianE-commerce,URIs,owl:hasValue,owl,hasValue,TRUE
llama-2-13b,4bits,BrazilianE-commerce,URIs,owl:inverseOf,owl,inverseOf,TRUE
llama-2-13b,4bits,BrazilianE-commerce,URIs,owl:Property,owl,Property,FALSE
llama-2-13b,8bits,BrazilianE-commerce,total,4,NA,NA,NA
llama-2-13b,8bits,BrazilianE-commerce,validity,3,NA,NA,NA
llama-2-13b,8bits,BrazilianE-commerce,corrected,1,NA,NA,NA
llama-2-13b,8bits,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-13b,8bits,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
llama-2-13b,8bits,BrazilianE-commerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-13b,8bits,BrazilianE-commerce,URIs,owl:DataProperty,owl,DataProperty,FALSE
llama-2-13b,all,BrazilianE-commerce,total,5,NA,NA,NA
llama-2-13b,all,BrazilianE-commerce,validity,2,NA,NA,NA
llama-2-13b,all,BrazilianE-commerce,corrected,3,NA,NA,NA
llama-2-13b,all,BrazilianE-commerce,URIs,owl:Object,owl,Object,FALSE
llama-2-13b,all,BrazilianE-commerce,URIs,owl:Thing,owl,Thing,TRUE
llama-2-13b,all,BrazilianE-commerce,URIs,owl:String,owl,String,FALSE
llama-2-13b,all,BrazilianE-commerce,URIs,owl:Literal,owl,Literal,FALSE
llama-2-13b,all,BrazilianE-commerce,URIs,owl:hasValue,owl,hasValue,TRUE
llama-2-13b,8bits,CustomerComplaint,total,12,NA,NA,NA
llama-2-13b,8bits,CustomerComplaint,validity,9,NA,NA,NA
llama-2-13b,8bits,CustomerComplaint,corrected,3,NA,NA,NA
llama-2-13b,8bits,CustomerComplaint,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-13b,8bits,CustomerComplaint,URIs,owl:imports,owl,imports,TRUE
llama-2-13b,8bits,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
llama-2-13b,8bits,CustomerComplaint,URIs,owl:class,owl,class,FALSE
llama-2-13b,8bits,CustomerComplaint,URIs,owl:hasValue,owl,hasValue,TRUE
llama-2-13b,8bits,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-13b,8bits,CustomerComplaint,URIs,owl:domain,owl,domain,FALSE
llama-2-13b,8bits,CustomerComplaint,URIs,owl:range,owl,range,FALSE
llama-2-13b,8bits,CustomerComplaint,URIs,xsd:integer,xsd,integer,TRUE
llama-2-13b,8bits,CustomerComplaint,URIs,xsd:string,xsd,string,TRUE
llama-2-13b,8bits,CustomerComplaint,URIs,xsd:boolean,xsd,boolean,TRUE
llama-2-13b,8bits,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-13b,all,CustomerComplaint,total,3,NA,NA,NA
llama-2-13b,all,CustomerComplaint,validity,2,NA,NA,NA
llama-2-13b,all,CustomerComplaint,corrected,1,NA,NA,NA
llama-2-13b,all,CustomerComplaint,URIs,rdf:type,rdf,type,TRUE
llama-2-13b,all,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
llama-2-13b,all,CustomerComplaint,URIs,owl:has_value,owl,has_value,FALSE
llama-2-13b,4bits,eCommerce,total,8,NA,NA,NA
llama-2-13b,4bits,eCommerce,validity,6,NA,NA,NA
llama-2-13b,4bits,eCommerce,corrected,2,NA,NA,NA
llama-2-13b,4bits,eCommerce,URIs,owl:ontology,owl,ontology,FALSE
llama-2-13b,4bits,eCommerce,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-2-13b,4bits,eCommerce,URIs,rdf:Resource,rdf,Resource,FALSE
llama-2-13b,4bits,eCommerce,URIs,rdfs:label,rdfs,label,TRUE
llama-2-13b,4bits,eCommerce,URIs,rdfs:comment,rdfs,comment,TRUE
llama-2-13b,4bits,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-13b,4bits,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
llama-2-13b,4bits,eCommerce,URIs,owl:inverseOf,owl,inverseOf,TRUE
llama-2-13b,8bits,eCommerce,total,5,NA,NA,NA
llama-2-13b,8bits,eCommerce,validity,4,NA,NA,NA
llama-2-13b,8bits,eCommerce,corrected,1,NA,NA,NA
llama-2-13b,8bits,eCommerce,URIs,owl:Class,owl,Class,TRUE
llama-2-13b,8bits,eCommerce,URIs,owl:Entity,owl,Entity,FALSE
llama-2-13b,8bits,eCommerce,URIs,rdf:type,rdf,type,TRUE
llama-2-13b,8bits,eCommerce,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-2-13b,8bits,eCommerce,URIs,owl:hasSelf,owl,hasSelf,TRUE
llama-2-13b,all,eCommerce,total,6,NA,NA,NA
llama-2-13b,all,eCommerce,validity,6,NA,NA,NA
llama-2-13b,all,eCommerce,corrected,0,NA,NA,NA
llama-2-13b,all,eCommerce,URIs,rdf:type,rdf,type,TRUE
llama-2-13b,all,eCommerce,URIs,rdfs:label,rdfs,label,TRUE
llama-2-13b,all,eCommerce,URIs,owl:oneOf,owl,oneOf,TRUE
llama-2-13b,all,eCommerce,URIs,owl:Class,owl,Class,TRUE
llama-2-13b,all,eCommerce,URIs,owl:hasValue,owl,hasValue,TRUE
llama-2-13b,all,eCommerce,URIs,owl:inverseOf,owl,inverseOf,TRUE
llama-2-70b,all,AirlinesCustomerSatisfaction,total,10,NA,NA,NA
llama-2-70b,all,AirlinesCustomerSatisfaction,validity,5,NA,NA,NA
llama-2-70b,all,AirlinesCustomerSatisfaction,corrected,5,NA,NA,NA
llama-2-70b,all,AirlinesCustomerSatisfaction,URIs,owl:Class,owl,Class,TRUE
llama-2-70b,all,AirlinesCustomerSatisfaction,URIs,owl:has_subclass,owl,has_subclass,FALSE
llama-2-70b,all,AirlinesCustomerSatisfaction,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-70b,all,AirlinesCustomerSatisfaction,URIs,owl:DataProperty,owl,DataProperty,FALSE
llama-2-70b,all,AirlinesCustomerSatisfaction,URIs,owl:domain,owl,domain,FALSE
llama-2-70b,all,AirlinesCustomerSatisfaction,URIs,owl:range,owl,range,FALSE
llama-2-70b,all,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-70b,all,AirlinesCustomerSatisfaction,URIs,owl:has_value,owl,has_value,FALSE
llama-2-70b,all,AirlinesCustomerSatisfaction,URIs,xsd:integer,xsd,integer,TRUE
llama-2-70b,all,AirlinesCustomerSatisfaction,URIs,xsd:string,xsd,string,TRUE
llama-3-70b,all,AirlinesCustomerSatisfaction,total,9,NA,NA,NA
llama-3-70b,all,AirlinesCustomerSatisfaction,validity,9,NA,NA,NA
llama-3-70b,all,AirlinesCustomerSatisfaction,corrected,0,NA,NA,NA
llama-3-70b,all,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-70b,all,AirlinesCustomerSatisfaction,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-3-70b,all,AirlinesCustomerSatisfaction,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-70b,all,AirlinesCustomerSatisfaction,URIs,owl:Class,owl,Class,TRUE
llama-3-70b,all,AirlinesCustomerSatisfaction,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-70b,all,AirlinesCustomerSatisfaction,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-70b,all,AirlinesCustomerSatisfaction,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-70b,all,AirlinesCustomerSatisfaction,URIs,rdfs:range,rdfs,range,TRUE
llama-3-70b,all,AirlinesCustomerSatisfaction,URIs,xsd:integer,xsd,integer,TRUE
llama-3-70b,all,AmazonRating,total,8,NA,NA,NA
llama-3-70b,all,AmazonRating,validity,8,NA,NA,NA
llama-3-70b,all,AmazonRating,corrected,0,NA,NA,NA
llama-3-70b,all,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-70b,all,AmazonRating,URIs,rdf:Property,rdf,Property,TRUE
llama-3-70b,all,AmazonRating,URIs,rdfs:label,rdfs,label,TRUE
llama-3-70b,all,AmazonRating,URIs,owl:Class,owl,Class,TRUE
llama-3-70b,all,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-70b,all,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
llama-3-70b,all,AmazonRating,URIs,xsd:string,xsd,string,TRUE
llama-3-70b,all,AmazonRating,URIs,xsd:integer,xsd,integer,TRUE
llama-3-70b,all,BigBasketProducts,total,9,NA,NA,NA
llama-3-70b,all,BigBasketProducts,validity,9,NA,NA,NA
llama-3-70b,all,BigBasketProducts,corrected,0,NA,NA,NA
llama-3-70b,all,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-70b,all,BigBasketProducts,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-3-70b,all,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
llama-3-70b,all,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-70b,all,BigBasketProducts,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-70b,all,BigBasketProducts,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-70b,all,BigBasketProducts,URIs,rdfs:range,rdfs,range,TRUE
llama-3-70b,all,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
llama-3-70b,all,BigBasketProducts,URIs,xsd:decimal,xsd,decimal,TRUE
llama-3-70b,all,BrazilianE-commerce,total,9,NA,NA,NA
llama-3-70b,all,BrazilianE-commerce,validity,9,NA,NA,NA
llama-3-70b,all,BrazilianE-commerce,corrected,0,NA,NA,NA
llama-3-70b,all,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-70b,all,BrazilianE-commerce,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-70b,all,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
llama-3-70b,all,BrazilianE-commerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-70b,all,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-70b,all,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-70b,all,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
llama-3-70b,all,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
llama-3-70b,all,BrazilianE-commerce,URIs,xsd:integer,xsd,integer,TRUE
llama-3-70b,all,CustomerComplaint,total,11,NA,NA,NA
llama-3-70b,all,CustomerComplaint,validity,11,NA,NA,NA
llama-3-70b,all,CustomerComplaint,corrected,0,NA,NA,NA
llama-3-70b,all,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-70b,all,CustomerComplaint,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-3-70b,all,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
llama-3-70b,all,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-70b,all,CustomerComplaint,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-70b,all,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-70b,all,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
llama-3-70b,all,CustomerComplaint,URIs,xsd:string,xsd,string,TRUE
llama-3-70b,all,CustomerComplaint,URIs,xsd:boolean,xsd,boolean,TRUE
llama-3-70b,all,CustomerComplaint,URIs,xsd:date,xsd,date,TRUE
llama-3-70b,all,CustomerComplaint,URIs,xsd:integer,xsd,integer,TRUE
llama-3-70b,all,eCommerce,total,11,NA,NA,NA
llama-3-70b,all,eCommerce,validity,7,NA,NA,NA
llama-3-70b,all,eCommerce,corrected,4,NA,NA,NA
llama-3-70b,all,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-70b,all,eCommerce,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-3-70b,all,eCommerce,URIs,owl:Class,owl,Class,TRUE
llama-3-70b,all,eCommerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-70b,all,eCommerce,URIs,rdf:Property,rdf,Property,TRUE
llama-3-70b,all,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-70b,all,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
llama-3-70b,all,eCommerce,URIs,rdf:Date,rdf,Date,FALSE
llama-3-70b,all,eCommerce,URIs,rdf:String,rdf,String,FALSE
llama-3-70b,all,eCommerce,URIs,rdf:integer,rdf,integer,FALSE
llama-3-70b,all,eCommerce,URIs,rdf:decimal,rdf,decimal,FALSE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,total,6,NA,NA,NA
llama-3-8b,8bits,AirlinesCustomerSatisfaction,validity,6,NA,NA,NA
llama-3-8b,8bits,AirlinesCustomerSatisfaction,corrected,0,NA,NA,NA
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,xsd:integer,xsd,integer,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,total,2,NA,NA,NA
llama-3-8b,all,AirlinesCustomerSatisfaction,validity,2,NA,NA,NA
llama-3-8b,all,AirlinesCustomerSatisfaction,corrected,0,NA,NA,NA
llama-3-8b,all,AirlinesCustomerSatisfaction,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,URIs,owl:Thing,owl,Thing,TRUE
llama-3-8b,8bits,AmazonRating,total,10,NA,NA,NA
llama-3-8b,8bits,AmazonRating,validity,8,NA,NA,NA
llama-3-8b,8bits,AmazonRating,corrected,2,NA,NA,NA
llama-3-8b,8bits,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,8bits,AmazonRating,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,8bits,AmazonRating,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,8bits,AmazonRating,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-3-8b,8bits,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,8bits,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,8bits,AmazonRating,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,8bits,AmazonRating,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,8bits,AmazonRating,URIs,xsd:text,xsd,text,FALSE
llama-3-8b,8bits,AmazonRating,URIs,xsd:categorical,xsd,categorical,FALSE
llama-3-8b,all,AmazonRating,total,7,NA,NA,NA
llama-3-8b,all,AmazonRating,validity,7,NA,NA,NA
llama-3-8b,all,AmazonRating,corrected,0,NA,NA,NA
llama-3-8b,all,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,all,AmazonRating,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,all,AmazonRating,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-3-8b,all,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,all,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,all,AmazonRating,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,all,AmazonRating,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,4bits,BigBasketProducts,total,10,NA,NA,NA
llama-3-8b,4bits,BigBasketProducts,validity,7,NA,NA,NA
llama-3-8b,4bits,BigBasketProducts,corrected,3,NA,NA,NA
llama-3-8b,4bits,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,4bits,BigBasketProducts,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,4bits,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,4bits,BigBasketProducts,URIs,owl:subClassOf,owl,subClassOf,FALSE
llama-3-8b,4bits,BigBasketProducts,URIs,owl:domain,owl,domain,FALSE
llama-3-8b,4bits,BigBasketProducts,URIs,owl:range,owl,range,FALSE
llama-3-8b,4bits,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,4bits,BigBasketProducts,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,4bits,BigBasketProducts,URIs,xsd:float,xsd,float,TRUE
llama-3-8b,4bits,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,8bits,BigBasketProducts,total,7,NA,NA,NA
llama-3-8b,8bits,BigBasketProducts,validity,4,NA,NA,NA
llama-3-8b,8bits,BigBasketProducts,corrected,3,NA,NA,NA
llama-3-8b,8bits,BigBasketProducts,URIs,owl:subclassOf,owl,subclassOf,FALSE
llama-3-8b,8bits,BigBasketProducts,URIs,owl:Thing,owl,Thing,TRUE
llama-3-8b,8bits,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,8bits,BigBasketProducts,URIs,owl:domain,owl,domain,FALSE
llama-3-8b,8bits,BigBasketProducts,URIs,owl:range,owl,range,FALSE
llama-3-8b,8bits,BigBasketProducts,URIs,xsd:integer,xsd,integer,TRUE
llama-3-8b,8bits,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,all,BigBasketProducts,total,9,NA,NA,NA
llama-3-8b,all,BigBasketProducts,validity,9,NA,NA,NA
llama-3-8b,all,BigBasketProducts,corrected,0,NA,NA,NA
llama-3-8b,all,BigBasketProducts,URIs,rdf:type,rdf,type,TRUE
llama-3-8b,all,BigBasketProducts,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-3-8b,all,BigBasketProducts,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,all,BigBasketProducts,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,all,BigBasketProducts,URIs,owl:Thing,owl,Thing,TRUE
llama-3-8b,all,BigBasketProducts,URIs,owl:oneOf,owl,oneOf,TRUE
llama-3-8b,all,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,all,BigBasketProducts,URIs,xsd:decimal,xsd,decimal,TRUE
llama-3-8b,all,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,4bits,BrazilianE-commerce,total,10,NA,NA,NA
llama-3-8b,4bits,BrazilianE-commerce,validity,10,NA,NA,NA
llama-3-8b,4bits,BrazilianE-commerce,corrected,0,NA,NA,NA
llama-3-8b,4bits,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,rdfs:label,rdfs,label,TRUE
