"NUMBER","TYPE","AirlinesCustomerSatisfaction GPT-3.5","AirlinesCustomerSatisfaction GPT-4o","AirlinesCustomerSatisfaction GPT-4o-mini","AirlinesCustomerSatisfaction llama-2-13b","AirlinesCustomerSatisfaction llama-2-7b","AirlinesCustomerSatisfaction llama-2-7b-4bits","AirlinesCustomerSatisfaction llama-2-7b-8bits","AirlinesCustomerSatisfaction llama-3-8b","AirlinesCustomerSatisfaction llama-3-8b-4bits","AirlinesCustomerSatisfaction llama-3-8b-8bits","AmazonRating GPT-3.5","AmazonRating GPT-4o","AmazonRating GPT-4o-mini","AmazonRating llama-2-13b","AmazonRating llama-2-7b","AmazonRating llama-2-7b-4bits","AmazonRating llama-2-7b-8bits","AmazonRating llama-3-8b","AmazonRating llama-3-8b-4bits","AmazonRating llama-3-8b-8bits","BigBasketProducts GPT-3.5","BigBasketProducts GPT-4o","BigBasketProducts GPT-4o-mini","BigBasketProducts llama-2-13b","BigBasketProducts llama-2-7b","BigBasketProducts llama-2-7b-4bits","BigBasketProducts llama-2-7b-8bits","BigBasketProducts llama-3-8b","BigBasketProducts llama-3-8b-4bits","BigBasketProducts llama-3-8b-8bits","BrazilianE-commerce GPT-3.5","BrazilianE-commerce GPT-4o","BrazilianE-commerce GPT-4o-mini","BrazilianE-commerce llama-2-13b","BrazilianE-commerce llama-2-7b","BrazilianE-commerce llama-2-7b-4bits","BrazilianE-commerce llama-2-7b-8bits","BrazilianE-commerce llama-3-8b","BrazilianE-commerce llama-3-8b-4bits","BrazilianE-commerce llama-3-8b-8bits","CustomerComplaint GPT-3.5","CustomerComplaint GPT-4o","CustomerComplaint GPT-4o-mini","CustomerComplaint llama-2-13b","CustomerComplaint llama-2-7b","CustomerComplaint llama-2-7b-4bits","CustomerComplaint llama-2-7b-8bits","CustomerComplaint llama-3-8b","CustomerComplaint llama-3-8b-4bits","CustomerComplaint llama-3-8b-8bits","eCommerce GPT-3.5","eCommerce GPT-4o","eCommerce GPT-4o-mini","eCommerce llama-2-13b","eCommerce llama-2-7b","eCommerce llama-2-7b-4bits","eCommerce llama-2-7b-8bits","eCommerce llama-3-8b","eCommerce llama-3-8b-4bits","eCommerce llama-3-8b-8bits","summary"
"P13","MINOR","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","","1","","1","1","1","1","1","1","","1","1","1","1","","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","1","1",50
"P14","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P15","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P16","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P17","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P18","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P19","CRITICAL","","","","","","","","","","","","","","","","","","1","","1","","","","1","","","1","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","",6
"P20","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P21","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P22","MINOR","","","","","","","1","","","","","","","","","","","","","","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",5
"P23","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P24","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
"P25","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P26","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P27","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P28","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P29","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P30","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","",3
"P31","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P32","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P33","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P34","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P35","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P36","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P37","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P38","IMPORTANT","","","","","","1","","","","","","","","","","1","","","","","","","1","","","1","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",6
"P39","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P40","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P41","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"","TOTAL","3","4","3","4","3","5","4","3","3","4","3","3","3","3","3","5","3","4","3","4","2","3","6","4","3","5","4","4","5","3","2","3","3","6","3","3","4","3","3","4","3","4","3","3","3","3","3","4","4","5","2","3","3","3","3","3","3","3","3","3",207
"","CRITICAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",6
"","IMPORTANT","1","2","1","1","1","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","2","1","1","2","1","1","2","1","1","1","1","2","1","1","2","1","1","2","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1",71
"","MINOR","2","2","2","3","2","3","3","2","2","3","2","2","2","2","2","3","2","2","2","2","1","2","4","2","2","3","2","3","3","2","1","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","1","2","2","2","2","2","2","2","2","2",130
