"NUMBER","TYPE","AirlinesCustomerSatisfaction GPT-3.5","AirlinesCustomerSatisfaction GPT-4","AirlinesCustomerSatisfaction GPT-4o","AirlinesCustomerSatisfaction llama-2-13b-4bits","AirlinesCustomerSatisfaction llama-2-70b-4bits","AirlinesCustomerSatisfaction llama-3-70b-4bits","AirlinesCustomerSatisfaction llama-3-8b","AirlinesCustomerSatisfaction llama-3-8b-8bits","AirlinesCustomerSatisfaction mixtral-8-7b","AmazonRating GPT-3.5","AmazonRating GPT-4","AmazonRating GPT-4o","AmazonRating llama-2-13b","AmazonRating llama-2-13b-8bits","AmazonRating llama-3-70b-4bits","AmazonRating llama-3-8b","AmazonRating llama-3-8b-8bits","AmazonRating mixtral-8-7b","BigBasketProducts GPT-3.5","BigBasketProducts GPT-4","BigBasketProducts GPT-4o","BigBasketProducts llama-2-13b","BigBasketProducts llama-2-13b-4bits","BigBasketProducts llama-2-13b-8bits","BigBasketProducts llama-3-70b-4bits","BigBasketProducts llama-3-8b","BigBasketProducts llama-3-8b-4bits","BigBasketProducts llama-3-8b-8bits","BigBasketProducts mistral-7b","BrazilianE-commerce GPT-3.5","BrazilianE-commerce GPT-4","BrazilianE-commerce GPT-4o","BrazilianE-commerce llama-2-13b","BrazilianE-commerce llama-2-13b-4bits","BrazilianE-commerce llama-2-13b-8bits","BrazilianE-commerce llama-3-70b-4bits","BrazilianE-commerce llama-3-8b-4bits","BrazilianE-commerce llama-3-8b-8bits","BrazilianE-commerce mistral-7b","BrazilianE-commerce mixtral-8-7b","CustomerComplaint GPT-3.5","CustomerComplaint GPT-4","CustomerComplaint GPT-4o","CustomerComplaint llama-2-13b","CustomerComplaint llama-3-70b-4bits","CustomerComplaint llama-3-8b","CustomerComplaint llama-3-8b-8bits","CustomerComplaint mixtral-8-7b","eCommerce GPT-3.5","eCommerce GPT-4","eCommerce GPT-4o","eCommerce llama-2-13b","eCommerce llama-2-13b-8bits","eCommerce llama-3-70b-4bits","eCommerce llama-3-8b-4bits","eCommerce llama-3-8b-8bits","eCommerce mistral-7b","eCommerce mixtral-8-7b","summary"
"P13","MINOR","1","1","1","1","1","1","","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","","1","1","1","","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","","1","1","","","1","1","1","1","1",49
"P14","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P15","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P16","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P17","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P18","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P19","CRITICAL","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","1","","","","1","1","1","","","","1","","","","","","","","","","","","","","","1","","","1","",10
"P20","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P21","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P22","MINOR","1","","1","","1","1","1","","","1","","1","1","1","1","","1","","1","1","","","","1","","","","","1","","1","1","1","1","","","","","1","","1","1","1","","","","1","","1","1","","1","","","1","1","1","",30
"P23","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P24","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",1
"P25","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P26","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P27","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P28","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P29","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P30","IMPORTANT","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
"P31","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",1
"P32","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P33","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P34","IMPORTANT","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",3
"P35","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
"P36","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P37","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P38","IMPORTANT","1","1","1","","1","1","1","1","1","1","1","1","","","1","1","","1","1","1","1","","1","","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","1","","1","1","1","1","1","1","1","1","1","1","1",49
"P39","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P40","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P41","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"","TOTAL","6","6","6","4","6","6","6","3","4","5","5","7","4","7","5","6","4","5","5","6","6","5","5","5","4","4","6","5","6","2","6","6","8","9","6","3","5","5","7","5","6","6","6","4","3","5","4","5","4","7","4","5","4","5","5","5","6","4",302
"","CRITICAL","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0",12
"","IMPORTANT","2","3","2","2","2","2","2","1","2","2","2","3","1","2","2","2","1","2","2","2","3","2","3","1","2","2","4","2","2","1","3","2","3","4","3","1","2","2","2","2","2","2","2","2","1","2","1","2","2","2","2","3","2","2","2","2","2","2",120
"","MINOR","3","3","4","2","4","4","4","2","2","3","3","4","3","4","3","3","3","3","3","4","3","3","2","4","2","2","2","2","3","1","3","4","4","4","2","2","3","3","4","3","4","4","4","2","2","3","3","3","2","4","2","2","2","2","3","3","3","2",170
