NUMBER,TYPE,AirlinesCustomerSatisfaction GPT-3.5,AirlinesCustomerSatisfaction GPT-4,AirlinesCustomerSatisfaction GPT-4o,AirlinesCustomerSatisfaction llama-2-13b-4bits,AirlinesCustomerSatisfaction llama-2-70b-4bits,AirlinesCustomerSatisfaction llama-3-70b-4bits,AirlinesCustomerSatisfaction llama-3-8b,AirlinesCustomerSatisfaction llama-3-8b-8bits,AirlinesCustomerSatisfaction mistral-7b,AirlinesCustomerSatisfaction mixtral-8-7b,AmazonRating GPT-3.5,AmazonRating GPT-4,AmazonRating GPT-4o,AmazonRating llama-2-13b,AmazonRating llama-2-13b-8bits,AmazonRating llama-3-70b-4bits,AmazonRating llama-3-8b,AmazonRating llama-3-8b-8bits,AmazonRating mixtral-8-7b,BigBasketProducts GPT-3.5,BigBasketProducts GPT-4,BigBasketProducts GPT-4o,BigBasketProducts llama-2-13b,BigBasketProducts llama-2-13b-4bits,BigBasketProducts llama-2-13b-8bits,BigBasketProducts llama-3-70b-4bits,BigBasketProducts llama-3-8b,BigBasketProducts llama-3-8b-4bits,BigBasketProducts llama-3-8b-8bits,BigBasketProducts mistral-7b,BrazilianE-commerce GPT-3.5,BrazilianE-commerce GPT-4,BrazilianE-commerce GPT-4o,BrazilianE-commerce llama-2-13b,BrazilianE-commerce llama-2-13b-4bits,BrazilianE-commerce llama-2-13b-8bits,BrazilianE-commerce llama-3-70b-4bits,BrazilianE-commerce llama-3-8b-4bits,BrazilianE-commerce llama-3-8b-8bits,BrazilianE-commerce mistral-7b,BrazilianE-commerce mixtral-8-7b,CustomerComplaint GPT-3.5,CustomerComplaint GPT-4,CustomerComplaint GPT-4o,CustomerComplaint llama-2-13b,CustomerComplaint llama-2-13b-8bits,CustomerComplaint llama-3-70b-4bits,CustomerComplaint llama-3-8b,CustomerComplaint llama-3-8b-8bits,CustomerComplaint mistral-7b,CustomerComplaint mixtral-8-7b,eCommerce GPT-3.5,eCommerce GPT-4,eCommerce GPT-4o,eCommerce llama-2-13b,eCommerce llama-2-13b-4bits,eCommerce llama-2-13b-8bits,eCommerce llama-3-70b-4bits,eCommerce llama-3-8b-4bits,eCommerce llama-3-8b-8bits,eCommerce mistral-7b,eCommerce mixtral-8-7b,summary
P24,IMPORTANT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
P30,IMPORTANT,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
P31,CRITICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
P34,IMPORTANT,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
P35,IMPORTANT,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
P38,IMPORTANT,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,52
P39,CRITICAL,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
,TOTAL,6,6,6,4,6,6,6,3,9,4,5,5,7,4,7,5,6,4,5,5,6,6,5,5,5,4,4,6,5,6,2,6,6,8,9,6,3,5,5,7,5,6,6,6,4,3,3,5,4,8,5,4,7,4,5,6,4,5,5,5,6,4,328
,CRITICAL,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,15
,IMPORTANT,2,3,2,2,2,2,2,1,3,2,2,2,3,1,2,2,2,1,2,2,2,3,2,3,1,2,2,4,2,2,1,3,2,3,4,3,1,2,2,2,2,2,2,2,2,0,1,2,1,3,2,2,2,2,3,2,2,2,2,2,2,2,128
,MINOR,3,3,4,2,4,4,4,2,5,2,3,3,4,3,4,3,3,3,3,3,4,3,3,2,4,2,2,2,2,3,1,3,4,4,4,2,2,3,3,4,3,4,4,4,2,3,2,3,3,4,3,2,4,2,2,3,2,2,3,3,3,2,185
