"experiment","method","dataset","ANOnto","AROnto","CBOOnto","CBOnto2","CROnto","DITOnto","INROnto","LCOMOnto","NACOnto","NOCOnto","NOMOnto","POnto","PROnto","RFCOnto","RROnto","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"base-llm","llama-2-13b-4bits","BigBasketProducts","0.0","0.3333333333333333","0.6666666666666666","0.6666666666666666","0.3333333333333333","2.0","0.6666666666666666","1.0","1.0","2.0","3.6666666666666665","0.0","0.8461538461538461","4.333333333333333","0.15384615384615385","0.0","0.0","1.0","1.0"
"base-llm","llama-2-13b-4bits","BrazilianE-commerce","0.0","0.16666666666666666","0.9166666666666666","0.9166666666666666","0.25","2.0","0.9166666666666666","1.0","1.0","11.0","0.75","0.0","0.45","1.6666666666666667","0.55","0.0","0.0","1.0","1.0"
"base-llm","llama-2-13b-4bits","eCommerce","1.2","0.6","0.9333333333333333","0.9333333333333333","0.0","4.0","0.9333333333333333","2.3333333333333335","1.0","4.666666666666667","3.0","0.6","0.7627118644067796","3.933333333333333","0.23728813559322035","0.0","0.0","2.3333333333333335","1.0"
"base-llm","llama-2-13b-8bits","BigBasketProducts","0.0","0.05714285714285714","1.6571428571428573","1.6571428571428573","0.14285714285714285","4.0","0.9142857142857143","2.16","1.0","3.5555555555555554","0.2","0.02857142857142857","0.1794871794871795","1.8571428571428572","0.8205128205128205","0.0","0.0","2.076923076923077","0.9615384615384616"
"base-llm","llama-2-13b-8bits","BrazilianE-commerce","0.0","1.75","0.75","0.75","0.0","2.0","0.5","1.0","1.0","2.0","7.5","0.0","0.9375","8.25","0.0625","0.0","0.0","0.6666666666666666","0.6666666666666666"
"base-llm","llama-2-13b-8bits","CustomerComplaint","0.0","0.5555555555555556","0.9444444444444444","0.9444444444444444","0.0","3.0","0.8888888888888888","1.9230769230769231","1.0","4.0","2.2222222222222223","0.0","0.7142857142857143","3.1666666666666665","0.2857142857142857","0.0","0.0","1.7857142857142858","0.9285714285714286"
"base-llm","llama-2-70b-4bits","AirlinesCustomerSatisfaction","0.0","3.5","0.75","0.75","4.5","2.0","0.75","1.0","1.0","3.0","10.5","0.0","0.9333333333333333","11.25","0.06666666666666667","0.0","0.0","1.0","1.0"
"base-llm","llama-3-70b-4bits","AirlinesCustomerSatisfaction","0.0","2.1333333333333333","1.0","1.0","0.06666666666666667","3.0","1.0","1.5833333333333333","1.0909090909090908","3.75","4.8","0.4666666666666667","0.8275862068965517","5.8","0.1724137931034483","0.07142857142857142","2.0","1.7272727272727273","1.0909090909090908"
"base-llm","llama-3-70b-4bits","AmazonRating","0.75","2.5","0.75","0.75","0.0","2.0","0.75","1.0","1.0","3.0","6.5","0.0","0.896551724137931","7.25","0.10344827586206896","0.0","0.0","1.0","1.0"
"base-llm","llama-3-70b-4bits","BigBasketProducts","0.0","2.3","0.9","0.9","0.0","3.0","0.9","1.2857142857142858","1.0","3.0","4.5","0.2","0.8333333333333334","5.4","0.16666666666666666","0.0","0.0","1.2857142857142858","1.0"
"base-llm","llama-3-70b-4bits","BrazilianE-commerce","0.0","1.2857142857142858","0.8571428571428571","0.8571428571428571","0.42857142857142855","2.0","0.8571428571428571","1.0","1.0","6.0","3.857142857142857","0.0","0.8181818181818182","4.714285714285714","0.18181818181818182","0.0","0.0","1.0","1.0"
"base-llm","llama-3-70b-4bits","CustomerComplaint","0.0","2.9285714285714284","0.9285714285714286","0.9285714285714286","0.21428571428571427","3.0","0.9285714285714286","1.625","1.0","2.1666666666666665","5.142857142857143","0.35714285714285715","0.8470588235294118","6.071428571428571","0.15294117647058825","0.0","0.0","1.625","1.0"
"base-llm","llama-3-8b","CustomerComplaint","0.0","5.2","0.8","0.8","0.0","3.0","0.8","1.3333333333333333","1.0","2.0","19.2","0.2","0.96","20.0","0.04","0.0","0.0","1.3333333333333333","1.0"
"base-llm","llama-3-8b-4bits","BigBasketProducts","0.125","0.0","0.875","0.875","3.0","4.0","0.875","1.4","1.0","2.3333333333333335","2.5","0.25","0.7407407407407407","3.375","0.25925925925925924","0.0","0.0","1.4","1.0"
"base-llm","llama-3-8b-4bits","BrazilianE-commerce","0.25","1.625","0.875","0.875","0.0","3.0","0.875","1.1666666666666667","1.0","3.5","4.875","0.125","0.8478260869565217","5.75","0.15217391304347827","0.0","0.0","1.1666666666666667","1.0"
"base-llm","llama-3-8b-4bits","eCommerce","0.0","2.909090909090909","0.9090909090909091","0.9090909090909091","0.7272727272727273","3.0","0.9090909090909091","1.1111111111111112","1.0","5.0","5.090909090909091","0.18181818181818182","0.8484848484848485","6.0","0.15151515151515152","0.0","0.0","1.1111111111111112","1.0"
"base-llm","llama-3-8b-8bits","AirlinesCustomerSatisfaction","0.0","12.0","0.5","0.5","0.0","2.0","0.5","1.0","1.0","1.0","48.0","0.0","0.9896907216494846","48.5","0.010309278350515464","0.0","0.0","1.0","1.0"
"base-llm","llama-3-8b-8bits","AmazonRating","0.0","2.2857142857142856","0.8571428571428571","0.8571428571428571","0.0","3.0","0.8571428571428571","1.2","1.0","3.0","3.4285714285714284","0.14285714285714285","0.8","4.285714285714286","0.2","0.0","0.0","1.2","1.0"
"base-llm","llama-3-8b-8bits","BrazilianE-commerce","0.0","0.75","0.875","0.875","0.0","3.0","0.875","1.1666666666666667","1.0","3.5","2.25","0.75","0.72","3.125","0.28","0.0","0.0","1.1666666666666667","1.0"
"base-llm","llama-3-8b-8bits","CustomerComplaint","0.09090909090909091","2.3636363636363638","0.9545454545454546","0.9545454545454546","0.0","3.0","0.9545454545454546","1.05","1.0","10.5","3.590909090909091","0.045454545454545456","0.79","4.545454545454546","0.21","0.0","0.0","1.05","1.0"
"base-llm","llama-3-8b-8bits","eCommerce","0.0","2.909090909090909","0.9090909090909091","0.9090909090909091","0.0","3.0","0.9090909090909091","1.1111111111111112","1.0","5.0","5.090909090909091","0.18181818181818182","0.8484848484848485","6.0","0.15151515151515152","0.0","0.0","1.1111111111111112","1.0"
"base-llm","mistral-7b","AirlinesCustomerSatisfaction","0.9545454545454546","1.0909090909090908","0.9545454545454546","0.9545454545454546","0.0","3.0","0.9545454545454546","1.05","1.0","10.5","3.272727272727273","0.045454545454545456","0.7741935483870968","4.2272727272727275","0.22580645161290322","0.0","0.0","1.05","1.0"
"base-llm","mistral-7b","BigBasketProducts","0.15384615384615385","2.6153846153846154","0.9230769230769231","0.9230769230769231","0.0","4.0","0.9230769230769231","1.2","1.0","4.0","5.0","0.15384615384615385","0.8441558441558441","5.923076923076923","0.15584415584415584","0.0","0.0","1.2","1.0"
"base-llm","mistral-7b","BrazilianE-commerce","0.375","2.0","0.875","0.875","0.625","3.0","0.875","1.1666666666666667","1.0","3.5","3.375","0.125","0.7941176470588235","4.25","0.20588235294117646","0.0","0.0","1.1666666666666667","1.0"
"base-llm","mistral-7b","CustomerComplaint","0.0","0.0","0.9375","0.9375","0.0","2.0","0.9375","1.0","1.0","15.0","2.1875","0.0","0.7","3.125","0.3","0.0","0.0","1.0","1.0"
"base-llm","mixtral-8-7b","AirlinesCustomerSatisfaction","0.0","3.6666666666666665","0.8333333333333334","0.8333333333333334","0.0","3.0","0.8333333333333334","1.5","1.0","2.5","11.0","0.0","0.9295774647887324","11.833333333333334","0.07042253521126761","0.0","0.0","1.5","1.0"
"base-llm","mixtral-8-7b","AmazonRating","0.0","1.2","0.8","0.8","0.0","3.0","0.8","1.6666666666666667","1.0","2.0","3.6","0.6","0.8181818181818182","4.4","0.18181818181818182","0.0","0.0","1.6666666666666667","1.0"
"base-llm","mixtral-8-7b","CustomerComplaint","0.0","1.1818181818181819","0.9545454545454546","0.9545454545454546","0.0","3.0","0.9545454545454546","1.894736842105263","1.0","7.0","3.5454545454545454","0.8181818181818182","0.7878787878787878","4.5","0.21212121212121213","0.0","0.0","1.894736842105263","1.0"
"FT-llm","GPT-3.5","AirlinesCustomerSatisfaction","0.75","1.25","0.75","0.75","1.75","2.0","0.75","1.0","1.0","3.0","3.75","0.0","0.8333333333333334","4.5","0.16666666666666666","0.0","0.0","1.0","1.0"
"FT-llm","GPT-3.5","AmazonRating","0.6666666666666666","2.0","0.6666666666666666","0.6666666666666666","0.0","2.0","0.6666666666666666","1.0","1.0","2.0","6.0","0.0","0.9","6.666666666666667","0.1","0.0","0.0","1.0","1.0"
"FT-llm","GPT-3.5","BigBasketProducts","1.3333333333333333","5.0","0.6666666666666666","0.6666666666666666","0.0","2.0","0.6666666666666666","1.0","1.0","2.0","15.0","0.0","0.9574468085106383","15.666666666666666","0.0425531914893617","0.0","0.0","1.0","1.0"
"FT-llm","GPT-3.5","BrazilianE-commerce","0.0","2.5","0.5","0.5","0.0","2.0","0.5","1.0","1.0","1.0","7.5","0.0","0.9375","8.0","0.0625","0.0","0.0","1.0","1.0"
"FT-llm","GPT-3.5","CustomerComplaint","0.8571428571428571","1.7142857142857142","0.8571428571428571","0.8571428571428571","0.0","2.0","0.8571428571428571","1.0","1.0","6.0","5.142857142857143","0.0","0.8571428571428571","6.0","0.14285714285714285","0.0","0.0","1.0","1.0"
"FT-llm","GPT-3.5","eCommerce","0.8888888888888888","0.8888888888888888","0.8888888888888888","0.8888888888888888","0.0","2.0","0.8888888888888888","1.0","1.0","8.0","2.6666666666666665","0.0","0.75","3.5555555555555554","0.25","0.0","0.0","1.0","1.0"
"FT-llm","GPT-4o","AirlinesCustomerSatisfaction","0.0","1.4285714285714286","0.8571428571428571","0.8571428571428571","0.0","2.0","0.8571428571428571","1.0","1.0","6.0","8.285714285714286","0.0","0.90625","9.142857142857142","0.09375","0.0","0.0","1.0","1.0"
"FT-llm","GPT-4o","AmazonRating","0.75","1.5","0.75","0.75","0.0","2.0","0.75","1.0","1.0","3.0","4.5","0.0","0.8571428571428571","5.25","0.14285714285714285","0.0","0.0","1.0","1.0"
"FT-llm","GPT-4o","BigBasketProducts","0.0","1.8","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","5.4","0.0","0.8709677419354839","6.2","0.12903225806451613","0.0","0.0","1.0","1.0"
"FT-llm","GPT-4o","BrazilianE-commerce","0.75","1.75","0.75","0.75","0.0","2.0","0.75","1.0","1.0","3.0","5.25","0.0","0.875","6.0","0.125","0.0","0.0","1.0","1.0"
"FT-llm","GPT-4o","CustomerComplaint","0.875","1.625","0.875","0.875","0.0","2.0","0.875","1.0","1.0","7.0","5.125","0.0","0.8541666666666666","6.0","0.14583333333333334","0.0","0.0","1.0","1.0"
"FT-llm","GPT-4o","eCommerce","0.8","1.8","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","5.4","0.0","0.8709677419354839","6.2","0.12903225806451613","0.0","0.0","1.0","1.0"
"FT-llm","GPT-4o-mini","AirlinesCustomerSatisfaction","0.8","5.2","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","15.6","0.0","0.9512195121951219","16.4","0.04878048780487805","0.0","0.0","1.0","1.0"
"FT-llm","GPT-4o-mini","AmazonRating","0.75","1.0","0.75","0.75","0.0","2.0","0.75","1.0","1.0","3.0","3.0","0.0","0.8","3.75","0.2","0.0","0.0","1.0","1.0"
"FT-llm","GPT-4o-mini","BigBasketProducts","0.8","1.8","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","5.4","0.0","0.8709677419354839","6.2","0.12903225806451613","0.0","0.0","1.0","1.0"
"FT-llm","GPT-4o-mini","BrazilianE-commerce","0.8","3.0","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","9.0","0.0","0.9183673469387755","9.8","0.08163265306122448","0.0","0.0","1.0","1.0"
"FT-llm","GPT-4o-mini","CustomerComplaint","0.9230769230769231","1.2307692307692308","0.9230769230769231","0.9230769230769231","0.0","2.0","0.9230769230769231","1.0","1.0","12.0","3.6923076923076925","0.0","0.8","4.615384615384615","0.2","0.0","0.0","1.0","1.0"
"FT-llm","GPT-4o-mini","eCommerce","0.8","2.2","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","6.6","0.0","0.8918918918918919","7.4","0.10810810810810811","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-13b","AirlinesCustomerSatisfaction","0.8","5.2","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","15.6","0.0","0.9512195121951219","16.4","0.04878048780487805","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-13b","AmazonRating","0.8333333333333334","2.1666666666666665","0.8333333333333334","0.8333333333333334","0.0","2.0","0.8333333333333334","1.0","1.0","5.0","6.5","0.0","0.8863636363636364","7.333333333333333","0.11363636363636363","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-13b","BigBasketProducts","0.8333333333333334","2.8333333333333335","0.8333333333333334","0.8333333333333334","0.0","2.0","0.8333333333333334","1.0","1.0","5.0","8.166666666666666","0.0","0.9074074074074074","9.0","0.09259259259259259","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-13b","BrazilianE-commerce","0.9473684210526315","0.9473684210526315","0.9473684210526315","0.9473684210526315","0.0","2.0","0.9473684210526315","1.0","1.0","18.0","3.5789473684210527","0.0","0.7906976744186046","4.526315789473684","0.20930232558139536","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-13b","CustomerComplaint","0.8571428571428571","2.4285714285714284","0.8571428571428571","0.8571428571428571","0.0","2.0","0.8571428571428571","1.0","1.0","6.0","7.285714285714286","0.0","0.8947368421052632","8.142857142857142","0.10526315789473684","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-13b","eCommerce","0.8","2.2","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","6.6","0.0","0.8918918918918919","7.4","0.10810810810810811","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b","AirlinesCustomerSatisfaction","0.8","1.6","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","4.8","0.0","0.8571428571428571","5.6","0.14285714285714285","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b","AmazonRating","0.8","1.6","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","4.8","0.0","0.8571428571428571","5.6","0.14285714285714285","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b","BigBasketProducts","0.8","1.6","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","4.8","0.0","0.8571428571428571","5.6","0.14285714285714285","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b","BrazilianE-commerce","0.8","1.6","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","4.8","0.0","0.8571428571428571","5.6","0.14285714285714285","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b","CustomerComplaint","0.8","1.6","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","4.8","0.0","0.8571428571428571","5.6","0.14285714285714285","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b","eCommerce","0.8","1.6","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","4.8","0.0","0.8571428571428571","5.6","0.14285714285714285","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b-4bits","AirlinesCustomerSatisfaction","0.9655172413793104","0.0","0.9655172413793104","0.9655172413793104","0.0","2.0","0.9655172413793104","1.0","1.0","28.0","0.0","0.0","0.0","0.9655172413793104","1.0","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b-4bits","AmazonRating","0.875","0.5","0.875","0.875","0.0","2.0","0.875","1.0","1.0","7.0","1.5","0.0","0.631578947368421","2.375","0.3684210526315789","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b-4bits","BigBasketProducts","0.673469387755102","0.04081632653061224","0.9795918367346939","0.9795918367346939","0.0","2.0","0.9795918367346939","1.0","1.0","48.0","0.12244897959183673","0.0","0.1111111111111111","1.1020408163265305","0.8888888888888888","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b-4bits","BrazilianE-commerce","0.9166666666666666","3.25","0.9166666666666666","0.9166666666666666","0.0","3.0","0.9166666666666666","1.4","1.0","5.5","5.75","0.3333333333333333","0.8625","6.666666666666667","0.1375","0.0","0.0","1.4","1.0"
"FT-llm","llama-2-7b-4bits","CustomerComplaint","0.8333333333333334","1.1666666666666667","0.9166666666666666","0.9166666666666666","0.0","2.0","0.9166666666666666","1.0","1.0","11.0","3.5","0.0","0.7924528301886793","4.416666666666667","0.20754716981132076","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b-4bits","eCommerce","0.8","1.6","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","4.8","0.0","0.8571428571428571","5.6","0.14285714285714285","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b-8bits","AirlinesCustomerSatisfaction","0.8333333333333334","3.8333333333333335","0.8333333333333334","0.8333333333333334","0.0","2.0","0.8333333333333334","1.0","1.0","5.0","11.5","0.0","0.9324324324324325","12.333333333333334","0.06756756756756757","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b-8bits","AmazonRating","0.9166666666666666","0.9166666666666666","0.9166666666666666","0.9166666666666666","0.0","2.0","0.9166666666666666","1.0","1.0","11.0","2.75","0.0","0.75","3.6666666666666665","0.25","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b-8bits","BigBasketProducts","0.8333333333333334","3.8333333333333335","0.8333333333333334","0.8333333333333334","0.0","2.0","0.8333333333333334","1.0","1.0","5.0","10.5","0.0","0.9264705882352942","11.333333333333334","0.07352941176470588","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b-8bits","BrazilianE-commerce","0.8571428571428571","4.857142857142857","0.8571428571428571","0.8571428571428571","0.0","2.0","0.8571428571428571","1.0","1.0","6.0","14.571428571428571","0.0","0.9444444444444444","15.428571428571429","0.05555555555555555","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b-8bits","CustomerComplaint","0.0","2.857142857142857","0.8571428571428571","0.8571428571428571","0.0","2.0","0.8571428571428571","1.0","1.0","6.0","8.714285714285714","0.0","0.9104477611940298","9.571428571428571","0.08955223880597014","0.0","0.0","1.0","1.0"
"FT-llm","llama-2-7b-8bits","eCommerce","0.5555555555555556","3.0","0.8888888888888888","0.8888888888888888","0.0","2.0","0.8888888888888888","1.0","1.0","8.0","9.0","0.0","0.9101123595505618","9.88888888888889","0.0898876404494382","0.0","0.0","1.0","1.0"
"FT-llm","llama-3-8b","AirlinesCustomerSatisfaction","0.875","3.125","0.875","0.875","0.0","2.0","0.875","1.0","1.0","7.0","9.625","0.0","0.9166666666666666","10.5","0.08333333333333333","0.0","0.0","1.0","1.0"
"FT-llm","llama-3-8b","AmazonRating","0.8333333333333334","1.1666666666666667","0.8333333333333334","0.8333333333333334","0.0","2.0","0.8333333333333334","1.0","1.0","5.0","3.5","0.0","0.8076923076923077","4.333333333333333","0.19230769230769232","0.0","0.0","1.0","1.0"
"FT-llm","llama-3-8b","BigBasketProducts","0.875","1.375","0.875","0.875","0.0","2.0","0.875","1.0","1.0","7.0","4.125","0.0","0.825","5.0","0.175","0.0","0.0","1.0","1.0"
"FT-llm","llama-3-8b","BrazilianE-commerce","0.8","2.2","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","6.6","0.0","0.8918918918918919","7.4","0.10810810810810811","0.0","0.0","1.0","1.0"
"FT-llm","llama-3-8b","CustomerComplaint","0.9473684210526315","1.2105263157894737","0.9473684210526315","0.9473684210526315","0.0","2.0","0.9473684210526315","1.0","1.0","18.0","3.736842105263158","0.0","0.797752808988764","4.684210526315789","0.20224719101123595","0.0","0.0","1.0","1.0"
"FT-llm","llama-3-8b","eCommerce","0.75","2.0","0.75","0.75","0.0","2.0","0.75","1.0","1.0","3.0","6.0","0.0","0.8888888888888888","6.75","0.1111111111111111","0.0","0.0","1.0","1.0"
"FT-llm","llama-3-8b-4bits","AirlinesCustomerSatisfaction","0.9","1.6","0.9","0.9","0.0","2.0","0.9","1.0","1.0","9.0","5.1","0.0","0.85","6.0","0.15","0.0","0.0","1.0","1.0"
"FT-llm","llama-3-8b-4bits","AmazonRating","0.75","1.0","0.75","0.75","0.0","2.0","0.75","1.0","1.0","3.0","3.0","0.0","0.8","3.75","0.2","0.0","0.0","1.0","1.0"
"FT-llm","llama-3-8b-4bits","BigBasketProducts","0.8","2.4","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","7.4","0.0","0.9024390243902439","8.2","0.0975609756097561","0.0","0.0","1.0","1.0"
"FT-llm","llama-3-8b-4bits","BrazilianE-commerce","0.8333333333333334","2.0","0.8333333333333334","0.8333333333333334","0.0","2.0","0.8333333333333334","1.0","1.0","5.0","6.166666666666667","0.0","0.8809523809523809","7.0","0.11904761904761904","0.0","0.0","1.0","1.0"
"FT-llm","llama-3-8b-4bits","CustomerComplaint","0.8333333333333334","1.6666666666666667","0.8333333333333334","0.8333333333333334","0.0","2.0","0.8333333333333334","1.0","1.0","5.0","5.0","0.0","0.8571428571428571","5.833333333333333","0.14285714285714285","0.0","0.0","1.0","1.0"
"FT-llm","llama-3-8b-4bits","eCommerce","0.8","2.0","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","6.0","0.0","0.8823529411764706","6.8","0.11764705882352941","0.0","0.0","1.0","1.0"
"FT-llm","llama-3-8b-8bits","AirlinesCustomerSatisfaction","0.8","4.6","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","14.4","0.0","0.9473684210526315","15.2","0.05263157894736842","0.0","0.0","1.0","1.0"
"FT-llm","llama-3-8b-8bits","AmazonRating","0.8571428571428571","1.4285714285714286","0.8571428571428571","0.8571428571428571","0.0","3.0","0.8571428571428571","1.2","1.0","3.0","3.5714285714285716","0.14285714285714285","0.8064516129032258","4.428571428571429","0.1935483870967742","0.0","0.0","1.2","1.0"
"FT-llm","llama-3-8b-8bits","BigBasketProducts","0.8","1.0","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","3.4","0.0","0.8095238095238095","4.2","0.19047619047619047","0.0","0.0","1.0","1.0"
"FT-llm","llama-3-8b-8bits","BrazilianE-commerce","0.9230769230769231","1.3846153846153846","0.9230769230769231","0.9230769230769231","0.0","3.0","0.9230769230769231","1.3","1.0","4.0","4.153846153846154","0.23076923076923078","0.8181818181818182","5.076923076923077","0.18181818181818182","0.0","0.0","1.3","1.0"
"FT-llm","llama-3-8b-8bits","CustomerComplaint","0.9285714285714286","0.7857142857142857","0.9285714285714286","0.9285714285714286","0.0","2.0","0.9285714285714286","1.0","1.0","13.0","2.357142857142857","0.0","0.717391304347826","3.2857142857142856","0.2826086956521739","0.0","0.0","1.0","1.0"
"FT-llm","llama-3-8b-8bits","eCommerce","0.8","1.6","0.8","0.8","0.0","2.0","0.8","1.0","1.0","4.0","4.8","0.0","0.8571428571428571","5.6","0.14285714285714285","0.0","0.0","1.0","1.0"
