method,quantization,dataset,feature,value,prefix,id,correct
llama-2-13b,all,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
llama-2-13b,all,BrazilianE-commerce,URIs,xsd:date,xsd,date,TRUE
llama-2-13b,all,BrazilianE-commerce,URIs,xsd:time,xsd,time,TRUE
llama-2-13b,all,CustomerComplaint,total,11,NA,NA,NA
llama-2-13b,all,CustomerComplaint,validity,11,NA,NA,NA
llama-2-13b,all,CustomerComplaint,corrected,0,NA,NA,NA
llama-2-13b,all,CustomerComplaint,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-13b,all,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-13b,all,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
llama-2-13b,all,CustomerComplaint,URIs,rdfs:label,rdfs,label,TRUE
llama-2-13b,all,CustomerComplaint,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-13b,all,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-13b,all,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-13b,all,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
llama-2-13b,all,CustomerComplaint,URIs,xsd:string,xsd,string,TRUE
llama-2-13b,all,CustomerComplaint,URIs,xsd:date,xsd,date,TRUE
llama-2-13b,all,CustomerComplaint,URIs,xsd:decimal,xsd,decimal,TRUE
llama-2-13b,all,eCommerce,total,12,NA,NA,NA
llama-2-13b,all,eCommerce,validity,12,NA,NA,NA
llama-2-13b,all,eCommerce,corrected,0,NA,NA,NA
llama-2-13b,all,eCommerce,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-13b,all,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-13b,all,eCommerce,URIs,owl:Class,owl,Class,TRUE
llama-2-13b,all,eCommerce,URIs,rdfs:label,rdfs,label,TRUE
llama-2-13b,all,eCommerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-13b,all,eCommerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-13b,all,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-13b,all,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
llama-2-13b,all,eCommerce,URIs,xsd:string,xsd,string,TRUE
llama-2-13b,all,eCommerce,URIs,xsd:date,xsd,date,TRUE
llama-2-13b,all,eCommerce,URIs,xsd:decimal,xsd,decimal,TRUE
llama-2-13b,all,eCommerce,URIs,xsd:integer,xsd,integer,TRUE
llama-2-7b,4bits,AirlinesCustomerSatisfaction,total,3,NA,NA,NA
llama-2-7b,4bits,AirlinesCustomerSatisfaction,validity,2,NA,NA,NA
llama-2-7b,4bits,AirlinesCustomerSatisfaction,corrected,1,NA,NA,NA
llama-2-7b,4bits,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,4bits,AirlinesCustomerSatisfaction,URIs,rdf:Class,rdf,Class,FALSE
llama-2-7b,4bits,AirlinesCustomerSatisfaction,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,8bits,AirlinesCustomerSatisfaction,total,11,NA,NA,NA
llama-2-7b,8bits,AirlinesCustomerSatisfaction,validity,11,NA,NA,NA
llama-2-7b,8bits,AirlinesCustomerSatisfaction,corrected,0,NA,NA,NA
llama-2-7b,8bits,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,8bits,AirlinesCustomerSatisfaction,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-7b,8bits,AirlinesCustomerSatisfaction,URIs,owl:Class,owl,Class,TRUE
llama-2-7b,8bits,AirlinesCustomerSatisfaction,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,8bits,AirlinesCustomerSatisfaction,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,8bits,AirlinesCustomerSatisfaction,URIs,rdfs:range,rdfs,range,TRUE
llama-2-7b,8bits,AirlinesCustomerSatisfaction,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-7b,8bits,AirlinesCustomerSatisfaction,URIs,xsd:date,xsd,date,TRUE
llama-2-7b,8bits,AirlinesCustomerSatisfaction,URIs,xsd:time,xsd,time,TRUE
llama-2-7b,8bits,AirlinesCustomerSatisfaction,URIs,xsd:string,xsd,string,TRUE
llama-2-7b,8bits,AirlinesCustomerSatisfaction,URIs,xsd:integer,xsd,integer,TRUE
llama-2-7b,all,AirlinesCustomerSatisfaction,total,10,NA,NA,NA
llama-2-7b,all,AirlinesCustomerSatisfaction,validity,10,NA,NA,NA
llama-2-7b,all,AirlinesCustomerSatisfaction,corrected,0,NA,NA,NA
llama-2-7b,all,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,all,AirlinesCustomerSatisfaction,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-7b,all,AirlinesCustomerSatisfaction,URIs,owl:Class,owl,Class,TRUE
llama-2-7b,all,AirlinesCustomerSatisfaction,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,all,AirlinesCustomerSatisfaction,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,all,AirlinesCustomerSatisfaction,URIs,rdfs:range,rdfs,range,TRUE
llama-2-7b,all,AirlinesCustomerSatisfaction,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-7b,all,AirlinesCustomerSatisfaction,URIs,xsd:date,xsd,date,TRUE
llama-2-7b,all,AirlinesCustomerSatisfaction,URIs,xsd:string,xsd,string,TRUE
llama-2-7b,all,AirlinesCustomerSatisfaction,URIs,xsd:decimal,xsd,decimal,TRUE
llama-2-7b,4bits,AmazonRating,total,6,NA,NA,NA
llama-2-7b,4bits,AmazonRating,validity,4,NA,NA,NA
llama-2-7b,4bits,AmazonRating,corrected,2,NA,NA,NA
llama-2-7b,4bits,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,4bits,AmazonRating,URIs,rdf:Class,rdf,Class,FALSE
llama-2-7b,4bits,AmazonRating,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,4bits,AmazonRating,URIs,rdf:property,rdf,property,FALSE
llama-2-7b,4bits,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,4bits,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
llama-2-7b,8bits,AmazonRating,total,10,NA,NA,NA
llama-2-7b,8bits,AmazonRating,validity,10,NA,NA,NA
llama-2-7b,8bits,AmazonRating,corrected,0,NA,NA,NA
llama-2-7b,8bits,AmazonRating,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-7b,8bits,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,8bits,AmazonRating,URIs,owl:Class,owl,Class,TRUE
llama-2-7b,8bits,AmazonRating,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,8bits,AmazonRating,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-7b,8bits,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,8bits,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
llama-2-7b,8bits,AmazonRating,URIs,xsd:string,xsd,string,TRUE
llama-2-7b,8bits,AmazonRating,URIs,xsd:integer,xsd,integer,TRUE
llama-2-7b,8bits,AmazonRating,URIs,xsd:float,xsd,float,TRUE
llama-2-7b,all,AmazonRating,total,11,NA,NA,NA
llama-2-7b,all,AmazonRating,validity,11,NA,NA,NA
llama-2-7b,all,AmazonRating,corrected,0,NA,NA,NA
llama-2-7b,all,AmazonRating,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-7b,all,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,all,AmazonRating,URIs,owl:Class,owl,Class,TRUE
llama-2-7b,all,AmazonRating,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,all,AmazonRating,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-7b,all,AmazonRating,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-7b,all,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,all,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
llama-2-7b,all,AmazonRating,URIs,xsd:string,xsd,string,TRUE
llama-2-7b,all,AmazonRating,URIs,xsd:decimal,xsd,decimal,TRUE
llama-2-7b,all,AmazonRating,URIs,xsd:date,xsd,date,TRUE
llama-2-7b,4bits,BigBasketProducts,total,8,NA,NA,NA
llama-2-7b,4bits,BigBasketProducts,validity,6,NA,NA,NA
llama-2-7b,4bits,BigBasketProducts,corrected,2,NA,NA,NA
llama-2-7b,4bits,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,4bits,BigBasketProducts,URIs,rdf:Class,rdf,Class,FALSE
llama-2-7b,4bits,BigBasketProducts,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,4bits,BigBasketProducts,URIs,rdf:Property,rdf,Property,TRUE
llama-2-7b,4bits,BigBasketProducts,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,4bits,BigBasketProducts,URIs,rdfs:range,rdfs,range,TRUE
llama-2-7b,4bits,BigBasketProducts,URIs,rdfs:subProperty,rdfs,subProperty,FALSE
llama-2-7b,4bits,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
llama-2-7b,8bits,BigBasketProducts,total,11,NA,NA,NA
llama-2-7b,8bits,BigBasketProducts,validity,11,NA,NA,NA
llama-2-7b,8bits,BigBasketProducts,corrected,0,NA,NA,NA
llama-2-7b,8bits,BigBasketProducts,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-7b,8bits,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,8bits,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
llama-2-7b,8bits,BigBasketProducts,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,8bits,BigBasketProducts,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-7b,8bits,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-7b,8bits,BigBasketProducts,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,8bits,BigBasketProducts,URIs,rdfs:range,rdfs,range,TRUE
llama-2-7b,8bits,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
llama-2-7b,8bits,BigBasketProducts,URIs,xsd:decimal,xsd,decimal,TRUE
llama-2-7b,8bits,BigBasketProducts,URIs,xsd:integer,xsd,integer,TRUE
llama-2-7b,all,BigBasketProducts,total,11,NA,NA,NA
llama-2-7b,all,BigBasketProducts,validity,11,NA,NA,NA
llama-2-7b,all,BigBasketProducts,corrected,0,NA,NA,NA
llama-2-7b,all,BigBasketProducts,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-7b,all,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,all,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
llama-2-7b,all,BigBasketProducts,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,all,BigBasketProducts,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-7b,all,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-7b,all,BigBasketProducts,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,all,BigBasketProducts,URIs,rdfs:range,rdfs,range,TRUE
llama-2-7b,all,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
llama-2-7b,all,BigBasketProducts,URIs,xsd:decimal,xsd,decimal,TRUE
llama-2-7b,all,BigBasketProducts,URIs,xsd:date,xsd,date,TRUE
llama-2-7b,4bits,BrazilianE-commerce,total,11,NA,NA,NA
llama-2-7b,4bits,BrazilianE-commerce,validity,11,NA,NA,NA
llama-2-7b,4bits,BrazilianE-commerce,corrected,0,NA,NA,NA
llama-2-7b,4bits,BrazilianE-commerce,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-7b,4bits,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,4bits,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
llama-2-7b,4bits,BrazilianE-commerce,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,4bits,BrazilianE-commerce,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-2-7b,4bits,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-7b,4bits,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,4bits,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
llama-2-7b,4bits,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
llama-2-7b,4bits,BrazilianE-commerce,URIs,xsd:integer,xsd,integer,TRUE
llama-2-7b,4bits,BrazilianE-commerce,URIs,xsd:dateTime,xsd,dateTime,TRUE
llama-2-7b,8bits,BrazilianE-commerce,total,18,NA,NA,NA
llama-2-7b,8bits,BrazilianE-commerce,validity,15,NA,NA,NA
llama-2-7b,8bits,BrazilianE-commerce,corrected,3,NA,NA,NA
llama-2-7b,8bits,BrazilianE-commerce,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-7b,8bits,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,8bits,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
llama-2-7b,8bits,BrazilianE-commerce,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,8bits,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-7b,8bits,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,8bits,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
llama-2-7b,8bits,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
llama-2-7b,8bits,BrazilianE-commerce,URIs,xsd:decimal,xsd,decimal,TRUE
llama-2-7b,8bits,BrazilianE-commerce,URIs,xsd:date,xsd,date,TRUE
llama-2-7b,8bits,BrazilianE-commerce,URIs,xsd:integer,xsd,integer,TRUE
llama-2-7b,8bits,BrazilianE-commerce,URIs,xsd:gYear,xsd,gYear,TRUE
llama-2-7b,8bits,BrazilianE-commerce,URIs,xsd:gMonth,xsd,gMonth,TRUE
llama-2-7b,8bits,BrazilianE-commerce,URIs,xsd:gDay,xsd,gDay,TRUE
llama-2-7b,8bits,BrazilianE-commerce,URIs,xsd:gHour,xsd,gHour,FALSE
llama-2-7b,8bits,BrazilianE-commerce,URIs,xsd:gMinute,xsd,gMinute,FALSE
llama-2-7b,8bits,BrazilianE-commerce,URIs,xsd:gSecond,xsd,gSecond,FALSE
llama-2-7b,8bits,BrazilianE-commerce,URIs,xsd:dateTime,xsd,dateTime,TRUE
llama-2-7b,all,BrazilianE-commerce,total,11,NA,NA,NA
llama-2-7b,all,BrazilianE-commerce,validity,11,NA,NA,NA
llama-2-7b,all,BrazilianE-commerce,corrected,0,NA,NA,NA
llama-2-7b,all,BrazilianE-commerce,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-7b,all,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,all,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
llama-2-7b,all,BrazilianE-commerce,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,all,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-7b,all,BrazilianE-commerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-7b,all,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,all,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
llama-2-7b,all,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
llama-2-7b,all,BrazilianE-commerce,URIs,xsd:decimal,xsd,decimal,TRUE
llama-2-7b,all,BrazilianE-commerce,URIs,xsd:date,xsd,date,TRUE
llama-2-7b,4bits,CustomerComplaint,total,11,NA,NA,NA
llama-2-7b,4bits,CustomerComplaint,validity,8,NA,NA,NA
llama-2-7b,4bits,CustomerComplaint,corrected,3,NA,NA,NA
llama-2-7b,4bits,CustomerComplaint,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-7b,4bits,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,4bits,CustomerComplaint,URIs,rdf:Class,rdf,Class,FALSE
llama-2-7b,4bits,CustomerComplaint,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,4bits,CustomerComplaint,URIs,rdf:property,rdf,property,FALSE
llama-2-7b,4bits,CustomerComplaint,URIs,rdf:objectproperty,rdf,objectproperty,FALSE
llama-2-7b,4bits,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,4bits,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
llama-2-7b,4bits,CustomerComplaint,URIs,xsd:string,xsd,string,TRUE
llama-2-7b,4bits,CustomerComplaint,URIs,xsd:date,xsd,date,TRUE
llama-2-7b,4bits,CustomerComplaint,URIs,xsd:boolean,xsd,boolean,TRUE
llama-2-7b,8bits,CustomerComplaint,total,10,NA,NA,NA
llama-2-7b,8bits,CustomerComplaint,validity,10,NA,NA,NA
llama-2-7b,8bits,CustomerComplaint,corrected,0,NA,NA,NA
llama-2-7b,8bits,CustomerComplaint,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-7b,8bits,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,8bits,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
llama-2-7b,8bits,CustomerComplaint,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-7b,8bits,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-7b,8bits,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,8bits,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
llama-2-7b,8bits,CustomerComplaint,URIs,xsd:string,xsd,string,TRUE
llama-2-7b,8bits,CustomerComplaint,URIs,xsd:dateTime,xsd,dateTime,TRUE
llama-2-7b,8bits,CustomerComplaint,URIs,xsd:integer,xsd,integer,TRUE
llama-2-7b,all,CustomerComplaint,total,11,NA,NA,NA
llama-2-7b,all,CustomerComplaint,validity,11,NA,NA,NA
llama-2-7b,all,CustomerComplaint,corrected,0,NA,NA,NA
llama-2-7b,all,CustomerComplaint,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-7b,all,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,all,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
llama-2-7b,all,CustomerComplaint,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,all,CustomerComplaint,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-7b,all,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-7b,all,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,all,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
llama-2-7b,all,CustomerComplaint,URIs,xsd:string,xsd,string,TRUE
llama-2-7b,all,CustomerComplaint,URIs,xsd:decimal,xsd,decimal,TRUE
llama-2-7b,all,CustomerComplaint,URIs,xsd:date,xsd,date,TRUE
llama-2-7b,4bits,eCommerce,total,12,NA,NA,NA
llama-2-7b,4bits,eCommerce,validity,12,NA,NA,NA
llama-2-7b,4bits,eCommerce,corrected,0,NA,NA,NA
llama-2-7b,4bits,eCommerce,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-7b,4bits,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,4bits,eCommerce,URIs,owl:Class,owl,Class,TRUE
llama-2-7b,4bits,eCommerce,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,4bits,eCommerce,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-2-7b,4bits,eCommerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-7b,4bits,eCommerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-7b,4bits,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,4bits,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
llama-2-7b,4bits,eCommerce,URIs,xsd:integer,xsd,integer,TRUE
llama-2-7b,4bits,eCommerce,URIs,xsd:decimal,xsd,decimal,TRUE
llama-2-7b,4bits,eCommerce,URIs,xsd:date,xsd,date,TRUE
llama-2-7b,8bits,eCommerce,total,11,NA,NA,NA
llama-2-7b,8bits,eCommerce,validity,11,NA,NA,NA
llama-2-7b,8bits,eCommerce,corrected,0,NA,NA,NA
llama-2-7b,8bits,eCommerce,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-7b,8bits,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,8bits,eCommerce,URIs,owl:Class,owl,Class,TRUE
llama-2-7b,8bits,eCommerce,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,8bits,eCommerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-7b,8bits,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,8bits,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
llama-2-7b,8bits,eCommerce,URIs,xsd:integer,xsd,integer,TRUE
llama-2-7b,8bits,eCommerce,URIs,xsd:string,xsd,string,TRUE
llama-2-7b,8bits,eCommerce,URIs,xsd:decimal,xsd,decimal,TRUE
llama-2-7b,8bits,eCommerce,URIs,xsd:date,xsd,date,TRUE
llama-2-7b,all,eCommerce,total,12,NA,NA,NA
llama-2-7b,all,eCommerce,validity,12,NA,NA,NA
llama-2-7b,all,eCommerce,corrected,0,NA,NA,NA
llama-2-7b,all,eCommerce,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-7b,all,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-2-7b,all,eCommerce,URIs,owl:Class,owl,Class,TRUE
llama-2-7b,all,eCommerce,URIs,rdfs:label,rdfs,label,TRUE
llama-2-7b,all,eCommerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-7b,all,eCommerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-7b,all,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-2-7b,all,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
