method,quantization,dataset,feature,value,correct
llama-2-13b,all,BrazilianE-commerce,total,3,NA
llama-2-13b,all,BrazilianE-commerce,validity,3,NA
llama-2-13b,all,BrazilianE-commerce,corrected,0,NA
llama-2-13b,all,BrazilianE-commerce,prefixes,rdf,TRUE
llama-2-13b,all,BrazilianE-commerce,prefixes,owl,TRUE
llama-2-13b,all,BrazilianE-commerce,prefixes,rdfs,TRUE
llama-2-13b,8bits,CustomerComplaint,total,3,NA
llama-2-13b,8bits,CustomerComplaint,validity,3,NA
llama-2-13b,8bits,CustomerComplaint,corrected,0,NA
llama-2-13b,8bits,CustomerComplaint,prefixes,rdf,TRUE
llama-2-13b,8bits,CustomerComplaint,prefixes,owl,TRUE
llama-2-13b,8bits,CustomerComplaint,prefixes,xsd,TRUE
llama-2-13b,all,CustomerComplaint,total,3,NA
llama-2-13b,all,CustomerComplaint,validity,3,NA
llama-2-13b,all,CustomerComplaint,corrected,0,NA
llama-2-13b,all,CustomerComplaint,prefixes,rdf,TRUE
llama-2-13b,all,CustomerComplaint,prefixes,owl,TRUE
llama-2-13b,all,CustomerComplaint,prefixes,xsd,TRUE
llama-2-13b,4bits,eCommerce,total,3,NA
llama-2-13b,4bits,eCommerce,validity,3,NA
llama-2-13b,4bits,eCommerce,corrected,0,NA
llama-2-13b,4bits,eCommerce,prefixes,rdf,TRUE
llama-2-13b,4bits,eCommerce,prefixes,owl,TRUE
llama-2-13b,4bits,eCommerce,prefixes,rdfs,TRUE
llama-2-13b,8bits,eCommerce,total,3,NA
llama-2-13b,8bits,eCommerce,validity,3,NA
llama-2-13b,8bits,eCommerce,corrected,0,NA
llama-2-13b,8bits,eCommerce,prefixes,owl,TRUE
llama-2-13b,8bits,eCommerce,prefixes,rdf,TRUE
llama-2-13b,8bits,eCommerce,prefixes,rdfs,TRUE
llama-2-13b,all,eCommerce,total,3,NA
llama-2-13b,all,eCommerce,validity,3,NA
llama-2-13b,all,eCommerce,corrected,0,NA
llama-2-13b,all,eCommerce,prefixes,owl,TRUE
llama-2-13b,all,eCommerce,prefixes,rdf,TRUE
llama-2-13b,all,eCommerce,prefixes,rdfs,TRUE
llama-2-70b,all,AirlinesCustomerSatisfaction,total,4,NA
llama-2-70b,all,AirlinesCustomerSatisfaction,validity,4,NA
llama-2-70b,all,AirlinesCustomerSatisfaction,corrected,0,NA
llama-2-70b,all,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
llama-2-70b,all,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
llama-2-70b,all,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
llama-2-70b,all,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
llama-3-70b,all,AirlinesCustomerSatisfaction,total,4,NA
llama-3-70b,all,AirlinesCustomerSatisfaction,validity,4,NA
llama-3-70b,all,AirlinesCustomerSatisfaction,corrected,0,NA
llama-3-70b,all,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
llama-3-70b,all,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
llama-3-70b,all,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
llama-3-70b,all,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
llama-3-70b,all,AmazonRating,total,4,NA
llama-3-70b,all,AmazonRating,validity,4,NA
llama-3-70b,all,AmazonRating,corrected,0,NA
llama-3-70b,all,AmazonRating,prefixes,rdf,TRUE
llama-3-70b,all,AmazonRating,prefixes,rdfs,TRUE
llama-3-70b,all,AmazonRating,prefixes,owl,TRUE
llama-3-70b,all,AmazonRating,prefixes,xsd,TRUE
llama-3-70b,all,BigBasketProducts,total,4,NA
llama-3-70b,all,BigBasketProducts,validity,4,NA
llama-3-70b,all,BigBasketProducts,corrected,0,NA
llama-3-70b,all,BigBasketProducts,prefixes,rdf,TRUE
llama-3-70b,all,BigBasketProducts,prefixes,rdfs,TRUE
llama-3-70b,all,BigBasketProducts,prefixes,owl,TRUE
llama-3-70b,all,BigBasketProducts,prefixes,xsd,TRUE
llama-3-70b,all,BrazilianE-commerce,total,3,NA
llama-3-70b,all,BrazilianE-commerce,validity,3,NA
llama-3-70b,all,BrazilianE-commerce,corrected,0,NA
llama-3-70b,all,BrazilianE-commerce,prefixes,rdf,TRUE
llama-3-70b,all,BrazilianE-commerce,prefixes,rdfs,TRUE
llama-3-70b,all,BrazilianE-commerce,prefixes,owl,TRUE
llama-3-70b,all,CustomerComplaint,total,3,NA
llama-3-70b,all,CustomerComplaint,validity,3,NA
llama-3-70b,all,CustomerComplaint,corrected,0,NA
llama-3-70b,all,CustomerComplaint,prefixes,rdf,TRUE
llama-3-70b,all,CustomerComplaint,prefixes,rdfs,TRUE
llama-3-70b,all,CustomerComplaint,prefixes,owl,TRUE
llama-3-70b,all,eCommerce,total,3,NA
llama-3-70b,all,eCommerce,validity,3,NA
llama-3-70b,all,eCommerce,corrected,0,NA
llama-3-70b,all,eCommerce,prefixes,rdf,TRUE
llama-3-70b,all,eCommerce,prefixes,rdfs,TRUE
llama-3-70b,all,eCommerce,prefixes,owl,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,total,3,NA
llama-3-8b,8bits,AirlinesCustomerSatisfaction,validity,3,NA
llama-3-8b,8bits,AirlinesCustomerSatisfaction,corrected,0,NA
llama-3-8b,8bits,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,total,4,NA
llama-3-8b,all,AirlinesCustomerSatisfaction,validity,4,NA
llama-3-8b,all,AirlinesCustomerSatisfaction,corrected,0,NA
llama-3-8b,all,AirlinesCustomerSatisfaction,prefixes,dc,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
llama-3-8b,8bits,AmazonRating,total,3,NA
llama-3-8b,8bits,AmazonRating,validity,3,NA
llama-3-8b,8bits,AmazonRating,corrected,0,NA
llama-3-8b,8bits,AmazonRating,prefixes,rdfs,TRUE
llama-3-8b,8bits,AmazonRating,prefixes,owl,TRUE
llama-3-8b,8bits,AmazonRating,prefixes,xsd,TRUE
llama-3-8b,all,AmazonRating,total,3,NA
llama-3-8b,all,AmazonRating,validity,3,NA
llama-3-8b,all,AmazonRating,corrected,0,NA
llama-3-8b,all,AmazonRating,prefixes,rdfs,TRUE
llama-3-8b,all,AmazonRating,prefixes,owl,TRUE
llama-3-8b,all,AmazonRating,prefixes,xsd,TRUE
llama-3-8b,4bits,BigBasketProducts,total,3,NA
llama-3-8b,4bits,BigBasketProducts,validity,3,NA
llama-3-8b,4bits,BigBasketProducts,corrected,0,NA
llama-3-8b,4bits,BigBasketProducts,prefixes,rdfs,TRUE
llama-3-8b,4bits,BigBasketProducts,prefixes,owl,TRUE
llama-3-8b,4bits,BigBasketProducts,prefixes,xsd,TRUE
llama-3-8b,8bits,BigBasketProducts,total,3,NA
llama-3-8b,8bits,BigBasketProducts,validity,3,NA
llama-3-8b,8bits,BigBasketProducts,corrected,0,NA
llama-3-8b,8bits,BigBasketProducts,prefixes,rdf,TRUE
llama-3-8b,8bits,BigBasketProducts,prefixes,owl,TRUE
llama-3-8b,8bits,BigBasketProducts,prefixes,xsd,TRUE
llama-3-8b,all,BigBasketProducts,total,4,NA
llama-3-8b,all,BigBasketProducts,validity,4,NA
llama-3-8b,all,BigBasketProducts,corrected,0,NA
llama-3-8b,all,BigBasketProducts,prefixes,rdf,TRUE
llama-3-8b,all,BigBasketProducts,prefixes,rdfs,TRUE
llama-3-8b,all,BigBasketProducts,prefixes,owl,TRUE
llama-3-8b,all,BigBasketProducts,prefixes,xsd,TRUE
llama-3-8b,4bits,BrazilianE-commerce,total,4,NA
llama-3-8b,4bits,BrazilianE-commerce,validity,4,NA
llama-3-8b,4bits,BrazilianE-commerce,corrected,0,NA
llama-3-8b,4bits,BrazilianE-commerce,prefixes,rdf,TRUE
llama-3-8b,4bits,BrazilianE-commerce,prefixes,rdfs,TRUE
llama-3-8b,4bits,BrazilianE-commerce,prefixes,owl,TRUE
llama-3-8b,4bits,BrazilianE-commerce,prefixes,xsd,TRUE
llama-3-8b,8bits,BrazilianE-commerce,total,3,NA
llama-3-8b,8bits,BrazilianE-commerce,validity,3,NA
llama-3-8b,8bits,BrazilianE-commerce,corrected,0,NA
llama-3-8b,8bits,BrazilianE-commerce,prefixes,rdf,TRUE
llama-3-8b,8bits,BrazilianE-commerce,prefixes,owl,TRUE
llama-3-8b,8bits,BrazilianE-commerce,prefixes,xsd,TRUE
llama-3-8b,8bits,CustomerComplaint,total,3,NA
llama-3-8b,8bits,CustomerComplaint,validity,3,NA
llama-3-8b,8bits,CustomerComplaint,corrected,0,NA
llama-3-8b,8bits,CustomerComplaint,prefixes,rdfs,TRUE
llama-3-8b,8bits,CustomerComplaint,prefixes,owl,TRUE
llama-3-8b,8bits,CustomerComplaint,prefixes,xsd,TRUE
llama-3-8b,all,CustomerComplaint,total,4,NA
llama-3-8b,all,CustomerComplaint,validity,4,NA
llama-3-8b,all,CustomerComplaint,corrected,0,NA
llama-3-8b,all,CustomerComplaint,prefixes,rdf,TRUE
llama-3-8b,all,CustomerComplaint,prefixes,rdfs,TRUE
llama-3-8b,all,CustomerComplaint,prefixes,owl,TRUE
llama-3-8b,all,CustomerComplaint,prefixes,xsd,TRUE
llama-3-8b,4bits,eCommerce,total,3,NA
llama-3-8b,4bits,eCommerce,validity,3,NA
llama-3-8b,4bits,eCommerce,corrected,0,NA
llama-3-8b,4bits,eCommerce,prefixes,rdfs,TRUE
llama-3-8b,4bits,eCommerce,prefixes,owl,TRUE
llama-3-8b,4bits,eCommerce,prefixes,xsd,TRUE
llama-3-8b,8bits,eCommerce,total,3,NA
llama-3-8b,8bits,eCommerce,validity,3,NA
llama-3-8b,8bits,eCommerce,corrected,0,NA
llama-3-8b,8bits,eCommerce,prefixes,rdfs,TRUE
llama-3-8b,8bits,eCommerce,prefixes,owl,TRUE
llama-3-8b,8bits,eCommerce,prefixes,xsd,TRUE
mistral-7b,all,AirlinesCustomerSatisfaction,total,2,NA
mistral-7b,all,AirlinesCustomerSatisfaction,validity,2,NA
mistral-7b,all,AirlinesCustomerSatisfaction,corrected,0,NA
mistral-7b,all,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
mistral-7b,all,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
mistral-7b,all,AmazonRating,total,3,NA
mistral-7b,all,AmazonRating,validity,0,NA
mistral-7b,all,AmazonRating,corrected,3,NA
mistral-7b,all,AmazonRating,prefixes,rdf,FALSE
mistral-7b,all,AmazonRating,prefixes,rdfs,FALSE
mistral-7b,all,AmazonRating,prefixes,owl,FALSE
mistral-7b,all,BigBasketProducts,total,3,NA
mistral-7b,all,BigBasketProducts,validity,1,NA
mistral-7b,all,BigBasketProducts,corrected,2,NA
mistral-7b,all,BigBasketProducts,prefixes,rdf,FALSE
mistral-7b,all,BigBasketProducts,prefixes,rdfs,FALSE
mistral-7b,all,BigBasketProducts,prefixes,owl,TRUE
mistral-7b,all,BrazilianE-commerce,total,4,NA
mistral-7b,all,BrazilianE-commerce,validity,1,NA
mistral-7b,all,BrazilianE-commerce,corrected,3,NA
mistral-7b,all,BrazilianE-commerce,prefixes,rdf,FALSE
mistral-7b,all,BrazilianE-commerce,prefixes,rdfs,FALSE
mistral-7b,all,BrazilianE-commerce,prefixes,xsd,TRUE
mistral-7b,all,BrazilianE-commerce,prefixes,owl,FALSE
mistral-7b,all,CustomerComplaint,total,4,NA
mistral-7b,all,CustomerComplaint,validity,2,NA
mistral-7b,all,CustomerComplaint,corrected,2,NA
mistral-7b,all,CustomerComplaint,prefixes,rdf,FALSE
mistral-7b,all,CustomerComplaint,prefixes,rdfs,FALSE
mistral-7b,all,CustomerComplaint,prefixes,xsd,TRUE
mistral-7b,all,CustomerComplaint,prefixes,owl,TRUE
mistral-7b,all,eCommerce,total,3,NA
mistral-7b,all,eCommerce,validity,1,NA
mistral-7b,all,eCommerce,corrected,2,NA
mistral-7b,all,eCommerce,prefixes,rdf,FALSE
mistral-7b,all,eCommerce,prefixes,rdfs,FALSE
mistral-7b,all,eCommerce,prefixes,owl,TRUE
mixtral-8-7b,all,AirlinesCustomerSatisfaction,total,4,NA
mixtral-8-7b,all,AirlinesCustomerSatisfaction,validity,4,NA
mixtral-8-7b,all,AirlinesCustomerSatisfaction,corrected,0,NA
mixtral-8-7b,all,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
mixtral-8-7b,all,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
mixtral-8-7b,all,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
mixtral-8-7b,all,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
mixtral-8-7b,all,AmazonRating,total,4,NA
mixtral-8-7b,all,AmazonRating,validity,4,NA
mixtral-8-7b,all,AmazonRating,corrected,0,NA
mixtral-8-7b,all,AmazonRating,prefixes,rdf,TRUE
mixtral-8-7b,all,AmazonRating,prefixes,rdfs,TRUE
mixtral-8-7b,all,AmazonRating,prefixes,owl,TRUE
mixtral-8-7b,all,AmazonRating,prefixes,xsd,TRUE
mixtral-8-7b,all,BrazilianE-commerce,total,4,NA
mixtral-8-7b,all,BrazilianE-commerce,validity,4,NA
mixtral-8-7b,all,BrazilianE-commerce,corrected,0,NA
mixtral-8-7b,all,BrazilianE-commerce,prefixes,rdf,TRUE
mixtral-8-7b,all,BrazilianE-commerce,prefixes,rdfs,TRUE
mixtral-8-7b,all,BrazilianE-commerce,prefixes,owl,TRUE
mixtral-8-7b,all,BrazilianE-commerce,prefixes,xsd,TRUE
mixtral-8-7b,all,CustomerComplaint,total,4,NA
mixtral-8-7b,all,CustomerComplaint,validity,4,NA
mixtral-8-7b,all,CustomerComplaint,corrected,0,NA
mixtral-8-7b,all,CustomerComplaint,prefixes,rdf,TRUE
mixtral-8-7b,all,CustomerComplaint,prefixes,rdfs,TRUE
mixtral-8-7b,all,CustomerComplaint,prefixes,owl,TRUE
mixtral-8-7b,all,CustomerComplaint,prefixes,xsd,TRUE
mixtral-8-7b,all,eCommerce,total,4,NA
mixtral-8-7b,all,eCommerce,validity,4,NA
mixtral-8-7b,all,eCommerce,corrected,0,NA
mixtral-8-7b,all,eCommerce,prefixes,rdf,TRUE
mixtral-8-7b,all,eCommerce,prefixes,rdfs,TRUE
mixtral-8-7b,all,eCommerce,prefixes,owl,TRUE
mixtral-8-7b,all,eCommerce,prefixes,xsd,TRUE
